community_url,label,member_count,Id,type
myositisuk,Myositis UK,543.0,myositisuk_co-occurrence,community
sicklecellsociety,Sickle Cell Society,521.0,sicklecellsociety_co-occurrence,community
dialysis-support,Dialysis Support,516.0,dialysis-support_co-occurrence,community
erectile-dysfunction-support,Erectile Dysfunction Support,508.0,erectile-dysfunction-support_co-occurrence,community
baby-and-us,Baby and Us,507.0,baby-and-us_co-occurrence,community
beyond-psoriasis,Beyond Psoriasis,507.0,beyond-psoriasis_co-occurrence,community
migraine-support,Migraine Support,503.0,migraine-support_co-occurrence,community
cll-america-support,CLL America Support,478.0,cll-america-support_co-occurrence,community
hep-c-trust,Hepatitis C Trust,468.0,hep-c-trust_co-occurrence,community
differentstrokes,Different Strokes,467.0,differentstrokes_co-occurrence,community
bronchiectasis-support,Bronchiectasis Support,452.0,bronchiectasis-support_co-occurrence,community
arrhythmia-alliance-heart-failure,Heart Failure Support,449.0,arrhythmia-alliance-heart-failure_co-occurrence,community
sensitiveissuesmen,Sensitive Issues for Men,441.0,sensitiveissuesmen_co-occurrence,community
tb-alert,TB Alert,419.0,tb-alert_co-occurrence,community
transplant-support,Kidney Transplant Patient Support,395.0,transplant-support_co-occurrence,community
active-surveillance-prostate,Active Surveillance - Prostate Cancer,388.0,active-surveillance-prostate_co-occurrence,community
alzheimer-support,Memory Health: Alzheimer's Support Group,385.0,alzheimer-support_co-occurrence,community
one-norfolk-parents,Ask Norfolk Parents,384.0,one-norfolk-parents_co-occurrence,community
melanomacaregivers,Melanoma Caregivers,381.0,melanomacaregivers_co-occurrence,community
brain-aneurysm-support,Brain Aneurysm Support,370.0,brain-aneurysm-support_co-occurrence,community
bowel-disease-support,Bowel Disease Support,369.0,bowel-disease-support_co-occurrence,community
actiononpain,Action on Pain,366.0,actiononpain_co-occurrence,community
continencesupport,Continence Support,365.0,continencesupport_co-occurrence,community
pancreatitis-support,Chronic Pancreatitis Support,362.0,pancreatitis-support_co-occurrence,community
fightbladdercancer,Fight Bladder Cancer,360.0,fightbladdercancer_co-occurrence,community
hep-c-support,Hepatitis C Support,359.0,hep-c-support_co-occurrence,community
arrhythmia-alliance-svt,Supraventricular Tachycardia Support,329.0,arrhythmia-alliance-svt_co-occurrence,community
alopeciauk,Alopecia UK,312.0,alopeciauk_co-occurrence,community
diabetes-support,Diabetes Support,310.0,diabetes-support_co-occurrence,community
liver4life,Liver,308.0,liver4life_co-occurrence,community
pcdsupport,PCD Family Support Group (UK),302.0,pcdsupport_co-occurrence,community
graves-disease-support,Graves Disease Support,296.0,graves-disease-support_co-occurrence,community
pbcers,PBCers Organization,294.0,pbcers_co-occurrence,community
dentistry-health-support,Dentistry Health Support,279.0,dentistry-health-support_co-occurrence,community
fight-mpn,Fight MPN,269.0,fight-mpn_co-occurrence,community
colostomy-care,Living with a Stoma,266.0,colostomy-care_co-occurrence,community
efa,EFA,264.0,efa_co-occurrence,community
pkdcharity-autosomaldominant,PKD Charity for Autosomal Dominant PKD,263.0,pkdcharity-autosomaldominant_co-occurrence,community
ukmasto,The UK Mastocytosis Support Group,255.0,ukmasto_co-occurrence,community
meningioma-support,Meningioma Support,236.0,meningioma-support_co-occurrence,community
nkf-parents,Parents of Children with Kidney Disease,233.0,nkf-parents_co-occurrence,community
livingwellwithhiv,Living Well with HIV,233.0,livingwellwithhiv_co-occurrence,community
glioblastoma-support,Glioblastoma Support,216.0,glioblastoma-support_co-occurrence,community
blog,HealthUnlocked Blog,205.0,blog_co-occurrence,community
sjogrens-support,Sjogren's Support,200.0,sjogrens-support_co-occurrence,community
bws-support,BWS Support,198.0,bws-support_co-occurrence,community
deafplus,deafPLUS,197.0,deafplus_co-occurrence,community
dystoniasociety,Dystonia Society,195.0,dystoniasociety_co-occurrence,community
fertility-road,"Fertility Road Mind, Body & Wellbeing",191.0,fertility-road_co-occurrence,community
adenomyosisadviceassociation,Adenomyosis Advice Association,162.0,adenomyosisadviceassociation_co-occurrence,community
epilepsysociety,Epilepsy Society,150.0,epilepsysociety_co-occurrence,community
heart-valve-voice,Heart Valve Voice,148.0,heart-valve-voice_co-occurrence,community
haemochromatosis-uk,Haemochromatosis Society UK,140.0,haemochromatosis-uk_co-occurrence,community
hearinglink,Hearing Link,137.0,hearinglink_co-occurrence,community
quit4life,Quit,133.0,quit4life_co-occurrence,community
the-endometriosis-foundation,The Endometriosis Foundation,131.0,the-endometriosis-foundation_co-occurrence,community
youngadultswithmelanoma,Young Adults with Melanoma,127.0,youngadultswithmelanoma_co-occurrence,community
sclc-go2,Small Cell Lung Cancer Support,123.0,sclc-go2_co-occurrence,community
cavernoma-uk,Cavernoma Alliance UK,119.0,cavernoma-uk_co-occurrence,community
allergic-to-glycols,Allergic to Glycols,117.0,allergic-to-glycols_co-occurrence,community
adult-acne-support,Adult Acne Support,111.0,adult-acne-support_co-occurrence,community
fpa-contraception,FPA Contraception,111.0,fpa-contraception_co-occurrence,community
sicklecelldisease,Living with Sickle Cell Disease,108.0,sicklecelldisease_co-occurrence,community
fierybones-ra,FieryBones - RA Community,106.0,fierybones-ra_co-occurrence,community
mga,Myasthenia Gravis Association,95.0,mga_co-occurrence,community
c3g,C,95.0,c3g_co-occurrence,community
pagets-support,Paget’s Support,90.0,pagets-support_co-occurrence,community
living-with-lyme-disease-uk,Living with Lyme Disease UK,73.0,living-with-lyme-disease-uk_co-occurrence,community
endometriosis-nz,Endometriosis New Zealand,69.0,endometriosis-nz_co-occurrence,community
chronic-myofascial-pain,Chronic Myofascial Pain,53.0,chronic-myofascial-pain_co-occurrence,community
living-with-ild,Living with Interstitial Lung Disease (ILD),49.0,living-with-ild_co-occurrence,community
myelomauk,Myeloma UK,47.0,myelomauk_co-occurrence,community
mamafit,Mamafit,44.0,mamafit_co-occurrence,community
partnersforbehcets,Partners for Behcet's,43.0,partnersforbehcets_co-occurrence,community
downs-support,Down's Syndrome Support,43.0,downs-support_co-occurrence,community
