community_url,community_name,member_count
pmrgcauk,PMRGCAuk,41614
bhf,British Heart Foundation,35558
care-community,Care Community,2372
asthmalunguk-lung,Lung Conditions Community Forum,67506
thyroiduk,Thyroid UK,168733
vasculitis-uk,Vasculitis UK,6951
meningioma-support,Meningioma Support,236
healthyeating,Healthy Eating,8217
icusteps,ICUsteps,2515
adhd-parents,CHADD's ADHD Parents Together,6541
cure-parkinsons,Cure Parkinson's,28531
glaucoma-uk,Glaucoma UK,2179
sruk,Scleroderma & Raynaud's UK (SRUK),5687
prostate-cancer-community,Prostate Cancer Network,3481
advanced-prostate-cancer,Advanced Prostate Cancer,28798
ovacome,My Ovacome,20503
asthmalunguk-asthma,Asthma Community Forum,25092
dentistry-health-support,Dentistry Health Support,279
afassociation,Atrial Fibrillation Support,39650
psp,PSP Association,11701
rlsuk,Restless Legs Syndrome,17015
research,Research Opportunities,52
abda,ABDA,64
behcetsuk,Behçet's UK,4412
fibromyalgia-action-uk,Fibromyalgia Action UK,67449
cllsupport,CLL Support,40649
quitsupport,Quit Support,30561
womenshealth,Women's Health,4181
pregnancy-parenting-support,Pregnancy and Parenting Support,17073
pelvicpain,Pelvic Pain Support Network,5859
eric,ERIC,3021
nras,NRAS,46619
menshealth,Men's Health Forum,4668
diabetes-support,Diabetes Support,310
arrhythmia-alliance-heart-failure,Heart Failure Support,449
nkf-ckd,Kidney Disease,5304
nkf-dialysis,Kidney Dialysis,1320
theibsnetwork,IBS Network,16340
fndhope,Functional Neurological Disorder - FND Hope,3304
haemochromatosis-uk,Haemochromatosis Society UK,140
mpnvoice,MPN Voice,15614
nkf-donors,Kidney Donation,344
nkf-parents,Parents of Children with Kidney Disease,233
nkf-kidneytransplant,Kidney Transplant,2179
lupusuk,LUPUS UK,28837
demo-community,Demo Community,27
early-ckd-support,Early CKD Support,2783
blog,HealthUnlocked Blog,205
pasoc,Pernicious Anaemia Society,24457
my-fibro-community,My Fibro Community,288
bonehealth,Bone Health and Osteoporosis UK,3034
fight-prostate-cancer,Fight Prostate Cancer,1388
menopause-perimenopause-support,Menopause and Perimenopause Support,554
anxietysupport,Anxiety Support,49558
tinnitus-uk,Tinnitus UK,5616
bowel-disease-support,Bowel Disease Support,369
painconcern,Pain Concern,12190
sleep-matters,Sleep Matters,917
endometriosis-uk,Endometriosis UK,53887
positivewellbeing,Positive Wellbeing During Self-Isolation,N7A
lungcancer,The Roy Castle Lung Cancer Foundation,3592
sclc-go2,Small Cell Lung Cancer Support,123
lung-cancer-support,Lung Cancer Support,2224
bridgeto10k,Bridge to,26817
strengthandflex,Strength & Flex,1855
marathon-running,Fun Beyond,8154
couchto5k,Couch to,159886
crohns-colitis-support,Crohn's and Colitis Support,1771
meandcfssupport,Myalgic Encephalomyelitis Community,660
sjogrens-support,Sjogren's Support,200
blood-pressure-support,High Blood Pressure Support,1539
bashh,BASHH,3042
britishlivertrust,British Liver Trust,19073
livingwithasthma,Living with Asthma,751
opa-gord,Acid Reflux Support,659
bronchiectasis-support,Bronchiectasis Support,452
verity-pcos,PCOS UK (Verity),2458
endometriosis-nz,Endometriosis New Zealand,69
the-endometriosis-foundation,The Endometriosis Foundation,131
fertility-network-uk,Fertility Network UK,60497
health-walk,Health Walk,1216
neuropathy-support,Neuropathy Support,518
anxiety-depression-support,Anxiety and Depression Support,88818
heartrhythmcharity,Heart Rhythm Disorders Support,2906
mymsaa,My MSAA Community,21479
active-surveillance-prostate,Active Surveillance - Prostate Cancer,388
dystoniasociety,Dystonia Society,195
mdd-support,Major Depressive Disorder (MDD) Support,936
ptsd-support,PTSD Support,343
cholesterol-support,Cholesterol Support,2651
healmyptsd,Heal My PTSD,12792
weight-loss-support,Weight Loss Support,61488
app-network,Action on Postpartum Psychosis,2730
brainhealth,Brain health,214
above-beyond,Above & Beyond - Mental Health,1540
mental-health-support,Mental Health Support,16951
oa-action,Osteoarthritis Action,561
headway,Headway,13208
migrainecentre,National Migraine Centre,2704
adult-adhd,CHADD's Adult ADHD Support,6368
thyroid-cancer-support,Thyroid Cancer Support,86
beyond-psoriasis,Beyond Psoriasis,507
pbc-foundation,PBC Foundation,8523
arrhythmia-alliance-svt,Supraventricular Tachycardia Support,329
sca-heart-attack,Sudden Cardiac Arrest & Heart Attack,758
stars,Unexplained Faints and Consciousness,732
fertility-network-uk-pregnancy,Fertility Network UK - Pregnancy Support,1234
ansiedad-depresion-apoyo,Apoyo para Ansiedad y Depresion,1286
hughes-syndrome,Hughes Syndrome APS Forum,10649
menshealth-penishealth,Men's Health Forum (Penis Health),9139
drwfdiabetes,Diabetes Research & Wellness Foundation,1606
diabetesindia,Diabetes India,12107
my-ocd,My OCD Community,3900
heart-valve-voice,Heart Valve Voice,148
anticoagulation-support,Anticoagulation Support,1377
sensitiveissuesmen,Sensitive Issues for Men,441
