community_url,community_name,member_count,Id
thyroiduk,Thyroid UK,168733.0,thyroiduk_co-occurrence
couchto5k,Couch to,159886.0,couchto5k_co-occurrence
anxiety-depression-support,Anxiety and Depression Support,88818.0,anxiety-depression-support_co-occurrence
asthmalunguk-lung,Lung Conditions Community Forum,67506.0,asthmalunguk-lung_co-occurrence
fibromyalgia-action-uk,Fibromyalgia Action UK,67449.0,fibromyalgia-action-uk_co-occurrence
fertility-network-uk,Fertility Network UK,60497.0,fertility-network-uk_co-occurrence
endometriosis-uk,Endometriosis UK,53887.0,endometriosis-uk_co-occurrence
anxietysupport,Anxiety Support,49558.0,anxietysupport_co-occurrence
nras,NRAS,46619.0,nras_co-occurrence
pmrgcauk,PMRGCAuk,41614.0,pmrgcauk_co-occurrence
cllsupport,CLL Support,40649.0,cllsupport_co-occurrence
afassociation,Atrial Fibrillation Support,39650.0,afassociation_co-occurrence
bhf,British Heart Foundation,35558.0,bhf_co-occurrence
nosmokingday,No Smoking Day,32495.0,nosmokingday_co-occurrence
quitsupport,Quit Support,30561.0,quitsupport_co-occurrence
lupusuk,LUPUS UK,28837.0,lupusuk_co-occurrence
advanced-prostate-cancer,Advanced Prostate Cancer,28798.0,advanced-prostate-cancer_co-occurrence
bridgeto10k,Bridge to,26817.0,bridgeto10k_co-occurrence
asthmalunguk-asthma,Asthma Community Forum,25092.0,asthmalunguk-asthma_co-occurrence
pasoc,Pernicious Anaemia Society,24457.0,pasoc_co-occurrence
britishlivertrust,British Liver Trust,19073.0,britishlivertrust_co-occurrence
theibsnetwork,IBS Network,16340.0,theibsnetwork_co-occurrence
healmyptsd,Heal My PTSD,12792.0,healmyptsd_co-occurrence
painconcern,Pain Concern,12190.0,painconcern_co-occurrence
diabetesindia,Diabetes India,12107.0,diabetesindia_co-occurrence
hughes-syndrome,Hughes Syndrome APS Forum,10649.0,hughes-syndrome_co-occurrence
menshealth-penishealth,Men's Health Forum (Penis Health),9139.0,menshealth-penishealth_co-occurrence
pbc-foundation,PBC Foundation,8523.0,pbc-foundation_co-occurrence
adhd-parents,CHADD's ADHD Parents Together,6541.0,adhd-parents_co-occurrence
adult-adhd,CHADD's Adult ADHD Support,6368.0,adult-adhd_co-occurrence
tinnitus-uk,Tinnitus UK,5616.0,tinnitus-uk_co-occurrence
nkf-ckd,Kidney Disease,5304.0,nkf-ckd_co-occurrence
ataxia-uk,Ataxia UK,4708.0,ataxia-uk_co-occurrence
menshealth,Men's Health Forum,4668.0,menshealth_co-occurrence
glutenfreeguerrillas,Gluten Free Guerrillas,4439.0,glutenfreeguerrillas_co-occurrence
behcetsuk,Behçet's UK,4412.0,behcetsuk_co-occurrence
womenshealth,Women's Health,4181.0,womenshealth_co-occurrence
lungcancer,The Roy Castle Lung Cancer Foundation,3592.0,lungcancer_co-occurrence
livingwithanxiety,Living with Anxiety,3328.0,livingwithanxiety_co-occurrence
bonehealth,Bone Health and Osteoporosis UK,3034.0,bonehealth_co-occurrence
eric,ERIC,3021.0,eric_co-occurrence
early-ckd-support,Early CKD Support,2783.0,early-ckd-support_co-occurrence
app-network,Action on Postpartum Psychosis,2730.0,app-network_co-occurrence
migrainecentre,National Migraine Centre,2704.0,migrainecentre_co-occurrence
lsn,LSN,2679.0,lsn_co-occurrence
cholesterol-support,Cholesterol Support,2651.0,cholesterol-support_co-occurrence
macularsociety,Macular Society,2646.0,macularsociety_co-occurrence
icusteps,ICUsteps,2515.0,icusteps_co-occurrence
active10,Active,2446.0,active10_co-occurrence
care-community,Care Community,2372.0,care-community_co-occurrence
lung-cancer-support,Lung Cancer Support,2224.0,lung-cancer-support_co-occurrence
arthritis-action,Arthritis Action,2183.0,arthritis-action_co-occurrence
glaucoma-uk,Glaucoma UK,2179.0,glaucoma-uk_co-occurrence
meningitisnow,Meningitis Now,2133.0,meningitisnow_co-occurrence
itpsupport,ITP Support Association,2123.0,itpsupport_co-occurrence
my-skin,MY SKIN,1941.0,my-skin_co-occurrence
crohns-colitis-support,Crohn's and Colitis Support,1771.0,crohns-colitis-support_co-occurrence
drwfdiabetes,Diabetes Research & Wellness Foundation,1606.0,drwfdiabetes_co-occurrence
above-beyond,Above & Beyond - Mental Health,1540.0,above-beyond_co-occurrence
blood-pressure-support,High Blood Pressure Support,1539.0,blood-pressure-support_co-occurrence
copd-friends,COPD Friends,1473.0,copd-friends_co-occurrence
fight-prostate-cancer,Fight Prostate Cancer,1388.0,fight-prostate-cancer_co-occurrence
