community_url,community_name,member_count,Id
pmrgcauk,PMRGCAuk,41614,pmrgcauk_co-occurrence
bhf,British Heart Foundation,35558,bhf_co-occurrence
care-community,Care Community,2372,care-community_co-occurrence
asthmalunguk-lung,Lung Conditions Community Forum,67506,asthmalunguk-lung_co-occurrence
thyroiduk,Thyroid UK,168733,thyroiduk_co-occurrence
meningioma-support,Meningioma Support,236,meningioma-support_co-occurrence
icusteps,ICUsteps,2515,icusteps_co-occurrence
adhd-parents,CHADD's ADHD Parents Together,6541,adhd-parents_co-occurrence
glaucoma-uk,Glaucoma UK,2179,glaucoma-uk_co-occurrence
advanced-prostate-cancer,Advanced Prostate Cancer,28798,advanced-prostate-cancer_co-occurrence
asthmalunguk-asthma,Asthma Community Forum,25092,asthmalunguk-asthma_co-occurrence
dentistry-health-support,Dentistry Health Support,279,dentistry-health-support_co-occurrence
afassociation,Atrial Fibrillation Support,39650,afassociation_co-occurrence
behcetsuk,Behçet's UK,4412,behcetsuk_co-occurrence
fibromyalgia-action-uk,Fibromyalgia Action UK,67449,fibromyalgia-action-uk_co-occurrence
cllsupport,CLL Support,40649,cllsupport_co-occurrence
quitsupport,Quit Support,30561,quitsupport_co-occurrence
womenshealth,Women's Health,4181,womenshealth_co-occurrence
eric,ERIC,3021,eric_co-occurrence
nras,NRAS,46619,nras_co-occurrence
menshealth,Men's Health Forum,4668,menshealth_co-occurrence
diabetes-support,Diabetes Support,310,diabetes-support_co-occurrence
arrhythmia-alliance-heart-failure,Heart Failure Support,449,arrhythmia-alliance-heart-failure_co-occurrence
nkf-ckd,Kidney Disease,5304,nkf-ckd_co-occurrence
theibsnetwork,IBS Network,16340,theibsnetwork_co-occurrence
haemochromatosis-uk,Haemochromatosis Society UK,140,haemochromatosis-uk_co-occurrence
nkf-parents,Parents of Children with Kidney Disease,233,nkf-parents_co-occurrence
lupusuk,LUPUS UK,28837,lupusuk_co-occurrence
demo-community,Demo Community,27,demo-community_co-occurrence
early-ckd-support,Early CKD Support,2783,early-ckd-support_co-occurrence
blog,HealthUnlocked Blog,205,blog_co-occurrence
pasoc,Pernicious Anaemia Society,24457,pasoc_co-occurrence
bonehealth,Bone Health and Osteoporosis UK,3034,bonehealth_co-occurrence
fight-prostate-cancer,Fight Prostate Cancer,1388,fight-prostate-cancer_co-occurrence
menopause-perimenopause-support,Menopause and Perimenopause Support,554,menopause-perimenopause-support_co-occurrence
anxietysupport,Anxiety Support,49558,anxietysupport_co-occurrence
tinnitus-uk,Tinnitus UK,5616,tinnitus-uk_co-occurrence
bowel-disease-support,Bowel Disease Support,369,bowel-disease-support_co-occurrence
painconcern,Pain Concern,12190,painconcern_co-occurrence
endometriosis-uk,Endometriosis UK,53887,endometriosis-uk_co-occurrence
lungcancer,The Roy Castle Lung Cancer Foundation,3592,lungcancer_co-occurrence
sclc-go2,Small Cell Lung Cancer Support,123,sclc-go2_co-occurrence
lung-cancer-support,Lung Cancer Support,2224,lung-cancer-support_co-occurrence
bridgeto10k,Bridge to,26817,bridgeto10k_co-occurrence
couchto5k,Couch to,159886,couchto5k_co-occurrence
crohns-colitis-support,Crohn's and Colitis Support,1771,crohns-colitis-support_co-occurrence
sjogrens-support,Sjogren's Support,200,sjogrens-support_co-occurrence
blood-pressure-support,High Blood Pressure Support,1539,blood-pressure-support_co-occurrence
britishlivertrust,British Liver Trust,19073,britishlivertrust_co-occurrence
livingwithasthma,Living with Asthma,751,livingwithasthma_co-occurrence
opa-gord,Acid Reflux Support,659,opa-gord_co-occurrence
bronchiectasis-support,Bronchiectasis Support,452,bronchiectasis-support_co-occurrence
endometriosis-nz,Endometriosis New Zealand,69,endometriosis-nz_co-occurrence
the-endometriosis-foundation,The Endometriosis Foundation,131,the-endometriosis-foundation_co-occurrence
fertility-network-uk,Fertility Network UK,60497,fertility-network-uk_co-occurrence
anxiety-depression-support,Anxiety and Depression Support,88818,anxiety-depression-support_co-occurrence
active-surveillance-prostate,Active Surveillance - Prostate Cancer,388,active-surveillance-prostate_co-occurrence
dystoniasociety,Dystonia Society,195,dystoniasociety_co-occurrence
cholesterol-support,Cholesterol Support,2651,cholesterol-support_co-occurrence
healmyptsd,Heal My PTSD,12792,healmyptsd_co-occurrence
app-network,Action on Postpartum Psychosis,2730,app-network_co-occurrence
above-beyond,Above & Beyond - Mental Health,1540,above-beyond_co-occurrence
oa-action,Osteoarthritis Action,561,oa-action_co-occurrence
migrainecentre,National Migraine Centre,2704,migrainecentre_co-occurrence
adult-adhd,CHADD's Adult ADHD Support,6368,adult-adhd_co-occurrence
beyond-psoriasis,Beyond Psoriasis,507,beyond-psoriasis_co-occurrence
pbc-foundation,PBC Foundation,8523,pbc-foundation_co-occurrence
arrhythmia-alliance-svt,Supraventricular Tachycardia Support,329,arrhythmia-alliance-svt_co-occurrence
sca-heart-attack,Sudden Cardiac Arrest & Heart Attack,758,sca-heart-attack_co-occurrence
fertility-network-uk-pregnancy,Fertility Network UK - Pregnancy Support,1234,fertility-network-uk-pregnancy_co-occurrence
ansiedad-depresion-apoyo,Apoyo para Ansiedad y Depresion,1286,ansiedad-depresion-apoyo_co-occurrence
hughes-syndrome,Hughes Syndrome APS Forum,10649,hughes-syndrome_co-occurrence
menshealth-penishealth,Men's Health Forum (Penis Health),9139,menshealth-penishealth_co-occurrence
drwfdiabetes,Diabetes Research & Wellness Foundation,1606,drwfdiabetes_co-occurrence
diabetesindia,Diabetes India,12107,diabetesindia_co-occurrence
heart-valve-voice,Heart Valve Voice,148,heart-valve-voice_co-occurrence
anticoagulation-support,Anticoagulation Support,1377,anticoagulation-support_co-occurrence
sensitiveissuesmen,Sensitive Issues for Men,441,sensitiveissuesmen_co-occurrence
dialysis-support,Dialysis Support,516,dialysis-support_co-occurrence
erectile-dysfunction-support,Erectile Dysfunction Support,508,erectile-dysfunction-support_co-occurrence
fertility-road,"Fertility Road Mind, Body & Wellbeing",191,fertility-road_co-occurrence
active10,Active,2446,active10_co-occurrence
brain-aneurysm-support,Brain Aneurysm Support,370,brain-aneurysm-support_co-occurrence
changingfaces,Changing Faces,760,changingfaces_co-occurrence
leukaemia-support,Leukaemia Support,808,leukaemia-support_co-occurrence
cll-america-support,CLL America Support,478,cll-america-support_co-occurrence
graves-disease-support,Graves Disease Support,296,graves-disease-support_co-occurrence
glioblastoma-support,Glioblastoma Support,216,glioblastoma-support_co-occurrence
arthritis-action,Arthritis Action,2183,arthritis-action_co-occurrence
copd-friends,COPD Friends,1473,copd-friends_co-occurrence
livingwithanxiety,Living with Anxiety,3328,livingwithanxiety_co-occurrence
edsuk,The Ehlers-Danlos Support UK,946,edsuk_co-occurrence
nosmokingday,No Smoking Day,32495,nosmokingday_co-occurrence
osteoporosis-support,Osteoporosis Support,902,osteoporosis-support_co-occurrence
apma,Australian Pain Management Association,20,apma_co-occurrence
lsn,LSN,2679,lsn_co-occurrence
macularsociety,Macular Society,2646,macularsociety_co-occurrence
ataxia-uk,Ataxia UK,4708,ataxia-uk_co-occurrence
drink-free,Drink Free,685,drink-free_co-occurrence
one-norfolk-parents,Ask Norfolk Parents,384,one-norfolk-parents_co-occurrence
migraine-support,Migraine Support,503,migraine-support_co-occurrence
lupus-support,LUpus Patients Understanding and Support,1292,lupus-support_co-occurrence
transplant-support,Kidney Transplant Patient Support,395,transplant-support_co-occurrence
youngadultswithmelanoma,Young Adults with Melanoma,127,youngadultswithmelanoma_co-occurrence
melanomacaregivers,Melanoma Caregivers,381,melanomacaregivers_co-occurrence
my-skin,MY SKIN,1941,my-skin_co-occurrence
crohnscolitis,Crohn's & Colitis,6,crohnscolitis_co-occurrence
hivpartners,HIV Partners,759,hivpartners_co-occurrence
glutenfreeguerrillas,Gluten Free Guerrillas,4439,glutenfreeguerrillas_co-occurrence
fungalinfectiontrust,Aspergillosis and Rare Fungal Infection Support,561,fungalinfectiontrust_co-occurrence
myelomauk,Myeloma UK,47,myelomauk_co-occurrence
cmtuk,Charcot-Marie-Tooth UK,667,cmtuk_co-occurrence
liver4life,Liver,308,liver4life_co-occurrence
alopeciauk,Alopecia UK,312,alopeciauk_co-occurrence
mga,Myasthenia Gravis Association,95,mga_co-occurrence
alzheimer-support,Memory Health: Alzheimer's Support Group,385,alzheimer-support_co-occurrence
fight-mpn,Fight MPN,269,fight-mpn_co-occurrence
pbcers,PBCers Organization,294,pbcers_co-occurrence
itpsupport,ITP Support Association,2123,itpsupport_co-occurrence
meningitisnow,Meningitis Now,2133,meningitisnow_co-occurrence
mydirectives,MyDirectives: Make your medical wishes known!,40,mydirectives_co-occurrence
adult-acne-support,Adult Acne Support,111,adult-acne-support_co-occurrence
diabeteshelp,Diabetes & Hypertension Help Society,1353,diabeteshelp_co-occurrence
epilepsysociety,Epilepsy Society,150,epilepsysociety_co-occurrence
livingwellwithhiv,Living Well with HIV,233,livingwellwithhiv_co-occurrence
