community_url,community_name,member_count,Id
vasculitis-uk,Vasculitis UK,6951,vasculitis-uk_co-occurrence
healthyeating,Healthy Eating,8217,healthyeating_co-occurrence
cure-parkinsons,Cure Parkinson's,28531,cure-parkinsons_co-occurrence
sruk,Scleroderma & Raynaud's UK (SRUK),5687,sruk_co-occurrence
prostate-cancer-community,Prostate Cancer Network,3481,prostate-cancer-community_co-occurrence
ovacome,My Ovacome,20503,ovacome_co-occurrence
psp,PSP Association,11701,psp_co-occurrence
rlsuk,Restless Legs Syndrome,17015,rlsuk_co-occurrence
research,Research Opportunities,52,research_co-occurrence
abda,ABDA,64,abda_co-occurrence
pregnancy-parenting-support,Pregnancy and Parenting Support,17073,pregnancy-parenting-support_co-occurrence
pelvicpain,Pelvic Pain Support Network,5859,pelvicpain_co-occurrence
nkf-dialysis,Kidney Dialysis,1320,nkf-dialysis_co-occurrence
fndhope,Functional Neurological Disorder - FND Hope,3304,fndhope_co-occurrence
mpnvoice,MPN Voice,15614,mpnvoice_co-occurrence
nkf-donors,Kidney Donation,344,nkf-donors_co-occurrence
nkf-kidneytransplant,Kidney Transplant,2179,nkf-kidneytransplant_co-occurrence
my-fibro-community,My Fibro Community,288,my-fibro-community_co-occurrence
sleep-matters,Sleep Matters,917,sleep-matters_co-occurrence
positivewellbeing,Positive Wellbeing During Self-Isolation,N7A,positivewellbeing_co-occurrence
strengthandflex,Strength & Flex,1855,strengthandflex_co-occurrence
marathon-running,Fun Beyond,8154,marathon-running_co-occurrence
meandcfssupport,Myalgic Encephalomyelitis Community,660,meandcfssupport_co-occurrence
bashh,BASHH,3042,bashh_co-occurrence
verity-pcos,PCOS UK (Verity),2458,verity-pcos_co-occurrence
health-walk,Health Walk,1216,health-walk_co-occurrence
neuropathy-support,Neuropathy Support,518,neuropathy-support_co-occurrence
heartrhythmcharity,Heart Rhythm Disorders Support,2906,heartrhythmcharity_co-occurrence
mymsaa,My MSAA Community,21479,mymsaa_co-occurrence
mdd-support,Major Depressive Disorder (MDD) Support,936,mdd-support_co-occurrence
ptsd-support,PTSD Support,343,ptsd-support_co-occurrence
weight-loss-support,Weight Loss Support,61488,weight-loss-support_co-occurrence
brainhealth,Brain health,214,brainhealth_co-occurrence
mental-health-support,Mental Health Support,16951,mental-health-support_co-occurrence
headway,Headway,13208,headway_co-occurrence
thyroid-cancer-support,Thyroid Cancer Support,86,thyroid-cancer-support_co-occurrence
stars,Unexplained Faints and Consciousness,732,stars_co-occurrence
my-ocd,My OCD Community,3900,my-ocd_co-occurrence
prostate-cancer-gay-men,Prostate Cancer And Gay Men,1320,prostate-cancer-gay-men_co-occurrence
male-breast-cancer,Male Breast Cancer,41,male-breast-cancer_co-occurrence
prostate-cancer-caregivers,Prostate Cancer Caregivers,214,prostate-cancer-caregivers_co-occurrence
mencap,Mencap,2483,mencap_co-occurrence
bereavement-care,Bereavement Care & Share,1554,bereavement-care_co-occurrence
the-brain-tumour-charity,The Brain Tumour Charity,172,the-brain-tumour-charity_co-occurrence
beyond-body-size,Beyond Body Size,291,beyond-body-size_co-occurrence
moretolifeuk,More To Life,438,moretolifeuk_co-occurrence
share-metastatic-support,SHARE Metastatic Breast Cancer,8535,share-metastatic-support_co-occurrence
share-breast-cancer-support,SHARE Breast Cancer Support,880,share-breast-cancer-support_co-occurrence
oesophagealgastriccancer,Oesophageal & Gastric Cancer,3368,oesophagealgastriccancer_co-occurrence
talk-ed,Talk ED (eating disorders),1501,talk-ed_co-occurrence
exi-community,My EXI Community,350,exi-community_co-occurrence
bpas,British Pregnancy Advisory Service,1971,bpas_co-occurrence
neuro-support,Neuro Support,582,neuro-support_co-occurrence
breast-cancer-community,My Breast Cancer Community,1849,breast-cancer-community_co-occurrence
epilepsynz,Epilepsy New Zealand,9,epilepsynz_co-occurrence
foggys,"Foggy's ""Invisible Illness"" Support",636,foggys_co-occurrence
afmcguk,Andover Fibromyalgia & ME Community Group,538,afmcguk_co-occurrence
weight-training-community,Weight training community,92,weight-training-community_co-occurrence
epilepsyaction,Epilepsy Action,1208,epilepsyaction_co-occurrence
starbrydgehealth,Starbrydge Health,1759,starbrydgehealth_co-occurrence
nchpad-mobility-limitations,NCHPAD Mobility Limitations,3,nchpad-mobility-limitations_co-occurrence
youngadult-stress,Young Adult Stress Support,118,youngadult-stress_co-occurrence
swwna,South West Wales Neurological Alliance,22,swwna_co-occurrence
jia,JIA-at-NRAS,128,jia_co-occurrence
lchf-diet,Low-Carb High-Fat (LCHF),1342,lchf-diet_co-occurrence
cll-ireland,CLL Ireland,N7A,cll-ireland_co-occurrence
nutritionandyoga,Nutrition and Yoga for Health,274,nutritionandyoga_co-occurrence
fatty-liver-nash,Living with Fatty Liver and NASH,2188,fatty-liver-nash_co-occurrence
pniorguk,PNI ORG UK,165,pniorguk_co-occurrence
nhsengland,NHS England: A Call to Action,N7A,nhsengland_co-occurrence
mindful-emotioncoaching,Mindful Emotion Coaching,15,mindful-emotioncoaching_co-occurrence
msa-trust,Multiple System Atrophy Trust,1493,msa-trust_co-occurrence
prostate-cancer-under-60,Prostate Cancer Under,59,prostate-cancer-under-60_co-occurrence
encephalitis-international,Encephalitis International,515,encephalitis-international_co-occurrence
edmesh,EDMESH,350,edmesh_co-occurrence
fnd-action,FND Action,201,fnd-action_co-occurrence
autism-support,Autism Support,834,autism-support_co-occurrence
coloncancerconnected,Colon Cancer Connected,1567,coloncancerconnected_co-occurrence
ovacare,OvaCare,1118,ovacare_co-occurrence
healthyevidence,Healthy Evidence,454,healthyevidence_co-occurrence
couchtobuddha,Couch to Buddha,35,couchtobuddha_co-occurrence
lipoedemauk,Lipoedema UK,167,lipoedemauk_co-occurrence
swedauk,SWEDA,100,swedauk_co-occurrence
prda,Pelvic Radiation Disease Association,392,prda_co-occurrence
wlsinfo,Weight Loss Surgery Info,74,wlsinfo_co-occurrence
pancreaticcancer,Pancreatic Cancer Action,334,pancreaticcancer_co-occurrence
my-cancer-community,My Cancer Community,312,my-cancer-community_co-occurrence
cure-arthritis,Cure Arthritis Community,600,cure-arthritis_co-occurrence
sexualhealthmatters,Sexual Health Matters,N7A,sexualhealthmatters_co-occurrence
skcin,Skin Cancer UK,317,skcin_co-occurrence
cord,Canadian Organization for Rare Disorders,21,cord_co-occurrence
aspergers-support,Asperger's Support,208,aspergers-support_co-occurrence
epilepsy-institute,Epilepsy Research Institute,676,epilepsy-institute_co-occurrence
bladderhealth-uk,Bladder Health UK,422,bladderhealth-uk_co-occurrence
ldnresearchtrust,LDN Research Trust,1618,ldnresearchtrust_co-occurrence
eczemaassociation,Eczema Association of Australasia Inc,26,eczemaassociation_co-occurrence
non-hodgkins-friends,Non Hodgkin's Lymphoma Friends,806,non-hodgkins-friends_co-occurrence
ocduk,OCD Support,N7A,ocduk_co-occurrence
fibrofriendswsm,Fibro Friends WSM,98,fibrofriendswsm_co-occurrence
bluefaerylivercancer,Blue Faery Liver Cancer,395,bluefaerylivercancer_co-occurrence
share-uterine-cancer-support,SHARE Uterine Cancer Support,209,share-uterine-cancer-support_co-occurrence
understanding-clinical-trials,Understanding Clinical Trials,329,understanding-clinical-trials_co-occurrence
gbss,Group B Strep Support,148,gbss_co-occurrence
circulationfoundation,Circulation Foundation,77,circulationfoundation_co-occurrence
myelopathy-support,Cervical Myelopathy,170,myelopathy-support_co-occurrence
veganfoodsforlife,Vegan Foods for Life,1612,veganfoodsforlife_co-occurrence
lgbt-cancer,LGBT Cancer Community,60,lgbt-cancer_co-occurrence
sportsinjury,Sports Injury,52,sportsinjury_co-occurrence
notdefinedbyendo,Not Defined By Endometriosis,50,notdefinedbyendo_co-occurrence
ggc-pmp-graduates,Graduates of GGC PMP,173,ggc-pmp-graduates_co-occurrence
borders-pain,Borders Pain Management,35,borders-pain_co-occurrence
snrpmp-graduates,SNRPMP Graduates Group,165,snrpmp-graduates_co-occurrence
infertilitysupport,Infertility Support,303,infertilitysupport_co-occurrence
genderidentity,Gender Identity,65,genderidentity_co-occurrence
dyslexiaaction,The Dyslexia Community,477,dyslexiaaction_co-occurrence
