comm_name,short,members_count,about_comm,community_url
PMRGCAuk,Arteritis,21935.0,"Polymyalgia Rheumatica and Giant Cell Arteritis UK (PMRGCAuk) is a UK-wide charity set up to provide information and support, raise awareness, and fos",pmrgcauk
British Heart Foundation,Heart health,57676.0,"We are the British Heart Foundation (BHF), the UK’s largest independent funder of cardiovascular research. From 3D-printed hearts and internal defibri",bhf
Care Community,Care community,5977.0,"The Care Community is a place for all carers to discuss health and caring for loved ones, particularly in later life. Talking about the challenges you",care-community
Lung Conditions Community Forum,Lung & asthma,56910.0,Welcome to Asthma + Lung UK's Lung conditions community forum  which is a place for you to share your experience and hear from other people to support,asthmalunguk-lung
Thyroid UK,Thyroid disord.,143369.0,The Thyroid UK community is for anyone with diagnosed or undiagnosed underactive or overactive thyroid disease.Thyroid UK is a charity that supports p,thyroiduk
Vasculitis UK,Vasculitis,7915.0,"Vasculitis UK is the UK's number one Vasculitis charity, run by people with Vasculitis for people with Vasculitis.We promote a national network of sup",vasculitis-uk
Meningioma Support,Meningioma,800.0,About Meningioma SupportWelcome to The Brain Tumour Charity Meningioma peer support online community for anyone affected by a meningioma diagnosis.You,meningioma-support
Healthy Eating,Healthy eating,62947.0,"The Healthy Eating community on HealthUnlocked is a place for anyone to discuss all aspects of nutrition, from specific foods to recipes and more.",healthyeating
ICUsteps,Intensive Care Unit,8072.0,"ICUsteps (the Intensive Care Unit Support Teams for Ex-Patients) was founded in 2005 by ex-patients, their relatives and ICU staff to support patients",icusteps
CHADD's ADHD Parents Together,ADHD Parents,25096.0,The ADHD Parents Together community is a place to discuss the impact of ADHD on both you and your child. Talking about the challenges you face as a pa,adhd-parents
Cure Parkinson's,Parkinson's,27177.0,This Cure Parkinson's HealthUnlocked community is a space for people with Parkinson's and those connected to them to share their experiences and opini,cure-parkinsons
Glaucoma UK,Glaucoma,3184.0,Glaucoma UK is the UK's charity for anyone affected by glaucoma. We hope to end preventable glaucoma sight loss by campaigning to raise awareness so g,glaucoma-uk
Scleroderma & Raynaud's UK (SRUK),Scleroderma & Raynaud's,11220.0,"We are Scleroderma & Raynaud's UK (SRUK), the only UK Charity dedicated to improving the lives of people with Scleroderma and Raynaud's phenomenon.We ",sruk
Prostate Cancer Network,Prostate cancer,5472.0,Newly diagnosed? On Active Surveillance? You've got brothers here! What's next after surgery or radiation? Impotent? Difficulty with Urine Control? Ca,prostate-cancer-community
Advanced Prostate Cancer,Prostate cancer,23372.0,"Malecare, the USA's leading prostate cancer support group where we can pick each other's brains.  Our 24-hour online support group.  Talking about adv",advanced-prostate-cancer
My Ovacome,Ovarian Cancer,18576.0,Ovacome is the national UK ovarian cancer charity focused on providing support and information to anyone affected by ovarian cancer. This includes peo,ovacome
Asthma Community Forum,Asthma,22902.0,Welcome to Asthma + Lung UK's asthma community forum (previously Asthma UK) which is a place for you to share your experience and hear from other peop,asthmalunguk-asthma
Dentistry Health Support,Dentistry health,1144.0,A peer support community for people who are affected by different oral health conditions. Join to connect with others  and get support!,dentistry-health-support
Atrial Fibrillation Support,Atrial fibrillation,33351.0,"AF Association supports individuals affected by, or involved in the care of atrial fibrillation (AF).  We are an international charity providing suppo",afassociation
PSP Association,Progressive supranuclear palsy,9894.0,"PSPA is a national charity offering information, practical and emotional support to people affected by Progressive Supranuclear Palsy (PSP) and Cortic",psp
Restless Legs Syndrome,Restless legs syndr.,22943.0,Welcome to the European Alliance for Restless Legs Syndrome (EARLS) and RLS-UK forum. Learn more about us at earls.eu and rls-uk.org,rlsuk
Research Opportunities,Research opportunities,1124.0,We believe that the voice of the patient should hold tremendous influence over the decisions made within the healthcare industry - that is why we crea,research
ABDA,Behcet's Disease,558.0,American Behcet's Disease Association - we aim to support patients with Behcet's disease and their families.,abda
Behçet's UK,Behcet's disease,5460.0,"Behçet’s UK cares for all those affected by Behçet’s including diagnosed patients, those not yet diagnosed, those that think they may have Behçet's, a",behcetsuk
Fibromyalgia Action UK,Fibromyalgia,60223.0,Up to 2.7 million people in the UK live with Fibromyalgia (Fibro) & the awareness of this condition remains very low. Fibromyalgia Action UK (FMAUK) i,fibromyalgia-action-uk
CLL Support,Chronic lymphocytic leukemia,23845.0,Chronic Lymphocytic Leukaemia Support cllsupport.org.uk is a patient-led charity founded in the UK in 2004. We support patients with Chronic Lymphocyt,cllsupport
Quit Support,Quit smoking,15475.0,"Roy Castle Lung Cancer Foundation have been providing stop smoking support since 1994. Offering online, telephone and community based support.Quit Sup",quitsupport
Women's Health,Women's health,46015.0,"This is a place to talk about women's health topics, from motherhood to menopause. Whether you've come here to learn about endometriosis, discuss your",womenshealth
Pregnancy and Parenting Support,Pregnancy & parenting,60001.0,Welcome to the Pregnancy and Parenting Support community. This is a peer support community for new and expecting parents! Join to connect with other p,pregnancy-parenting-support
Pelvic Pain Support Network,Pelvic pain,20115.0,"This community is run by the Pelvic Pain Support Network, a registered charity. The community forum exists to support those who wish to share and lear",pelvicpain
ERIC,Bowl & bladder conditions,9269.0,"We are a community that supports families with children or teenagers who have bowel and/or bladder problems (including potty training, bedwetting, day",eric
NRAS,Arthritis,37670.0,Welcome to the community for people with rheumatoid arthritis (RA). This is run by the National Rheumatoid Arthritis Society (NRAS) and exists to help,nras
Men's Health Forum,Men's health ,36808.0,This forum is for the discussion of all men's health questions except for those about the penis.---One man in five dies before the age of 65. Together,menshealth
Diabetes Support,Diabetes,2184.0,A peer support community for people with diabetes.,diabetes-support
Heart Failure Support,Heart failure,912.0,We are an international charity working to support early diagnosis and improve outcomes for heart failure patients and carers worldwide. Please share ,arrhythmia-alliance-heart-failure
Kidney Disease,Kidney disease,13079.0,Welcome to the National Kidney Foundation's Community for people affected by Chronic Kidney Disease (CKD)! In this community you will find a safe and ,nkf-ckd
Kidney Dialysis,Kidney dialysis,3019.0,"Welcome to the National Kidney Foundation Dialysis!  In this community you will find a safe and supportive space where you can share your experiences,",nkf-dialysis
IBS Network,Irritable bowel syndr.,49443.0,The IBS Network is the national charity that helps people with Irritable Bowel Syndrome (IBS) and has provided support to those with the condition and,theibsnetwork
Functional Neurological Disorder - FND Hope,Neurological disord.,6046.0,"FND Hope supports patients and families impacted by Functional Neurological Disorder. We advocate for the men, women, and children who have had their ",fndhope
Haemochromatosis Society UK,Haemochromatosis,588.0,"The Haemochromatosis Society was established in 1990 in order to help, support and provide information for those affected by Haemochromatosis (Iron Ov",haemochromatosis-uk
MPN Voice,Myeloproliferat. neoplasms,11154.0,MPN Voice provides information and emotional support to patients with Myeloproliferative neoplasms.MPNs are chronic diseases affecting the levels of b,mpnvoice
Kidney Donation,Kidney donation,1171.0,Welcome to the National Kidney Foundation's Living Donation Community! In this community you will find a safe and supportive space where you can share,nkf-donors
Parents of Children with Kidney Disease,Kidney disease parents,1101.0,Welcome to the National Kidney Foundation's Community for Parents of Children with Kidney Disease! In this community you will find a safe and supporti,nkf-parents
Kidney Transplant,Kidney transplant,3759.0,"Welcome to the National Kidney Foundation's Transplant Community!  Whether you have had a transplant, are waiting for a transplant, or are a family/fr",nkf-kidneytransplant
LUPUS UK,Lupus,32535.0,This HealthUnlocked Community is a peer support forum facilitated by LUPUS UK - The national registered charity for people affected by lupus and assis,lupusuk
Early CKD Support,Early kidney disease,8070.0,Early CKD Support is a community dedicated to providing reliable information and support to its members,early-ckd-support
HealthUnlocked Blog,HealthUnlocked blog,103292.0,We use this community to update everyone on HealthUnlocked about our news and information and feature improvements and developments. For more informat,blog
Pernicious Anaemia Society,Pernicious anaemia,33201.0,"Welcome to the Pernicious Anaemia Society's (PAS) HealthUnlocked page! We provide Information, Help and Support to patients with Pernicious Anaemia an",pasoc
My Fibro Community,Fibromyalgia,2944.0,My Fibro Community is a community dedicated to providing a safe space for those suffering from fibromyalgia to connect and receive support from others,my-fibro-community
Bone Health and Osteoporosis UK,Bone health & osteoporosis,6671.0,"This community is a welcoming and safe space for you to share your experiences, and we hope you’ll connect and find support with other people  in a si",bonehealth
Fight Prostate Cancer,Prostate cancer,2993.0,This community is no longer actively moderated. Please visit the other prostate cancer community to continue receiving support: healthunlocked.com/adv,fight-prostate-cancer
Menopause and Perimenopause Support,(Peri-) Menopause,2653.0,Menopause and Perimenopause Support is a community dedicated to providing reliable information and support to its members in relation to menopause and,menopause-perimenopause-support
Anxiety Support,Anxiety,53740.0,"Anxiety Support helps people with general anxiety and anxiety from health related reasons.  Facilitated by Malecare, one of the world's leading patien",anxietysupport
Tinnitus UK,Tinnitus,11159.0,"We are a community of people who understand what it is like to live with tinnitus and related conditions. Here you can share stories, ask questions an",tinnitus-uk
Bowel Disease Support,Bowel disease,1453.0,"We are a peer support community for people living with bowel disease. Here we share our experiences, ask questions and support each other!",bowel-disease-support
Pain Concern,Pain Concern,39599.0,Pain Concern is a charity campaigning for better pain services and a better understanding of the needs of people living with pain.Pain Concern runs a ,painconcern
Sleep Matters,Sleep,3798.0,"A peer support community for people who struggle with sleeping problem such as insomnia, circadian rhythm disorders (jet lag), snoring and sleep apnea",sleep-matters
Endometriosis UK,Endometriosis,74368.0,"Endometriosis UK is a charity which provides vital support services, reliable information and a community for those affected by endometriosis.",endometriosis-uk
Positive Wellbeing During Self-Isolation,Wellbeing,,Please note this community is closed.-----The Positive Wellbeing During Self-Isolation community is meant to provide a supportive environment for anyo,positivewellbeing
The Roy Castle Lung Cancer Foundation,Lung & asthma,6021.0,Roy Castle Lung Cancer Foundation is the charity that gives help and hope to people affected by lung cancer. The charity has two aims - supporting peo,lungcancer
Small Cell Lung Cancer Support,Small cell lung cancer,133.0,"The Small Cell Lung Cancer Support Community is a peer support network run by the GO2 for Lung Cancer: go2foundation.org/, the place where people impa",sclc-go2
Lung Cancer Support,Lung cancer,4100.0,"The Lung Cancer Support community is an online peer to peer support network run by the GO2 for Lung Cancer, the place where everyone impacted by lung ",lung-cancer-support
Bridge to,Running 10K,16569.0,A community for runners looking to crack a 10k or build their running beyond 30 minutes.The perfect place for NHS Couch to 5K Graduates and other more,bridgeto10k
Strength & Flex,Strength & flex,8046.0,"NHS Choices forum for the Strength and Flex community.  The perfect addition to any HealthUnlocked forum activity, supported by a team of runners and ",strengthandflex
Fun Beyond,Running beyond 10K,2650.0,"This community connects and supports road, track and trail runners exploring beyond 10K (10 miles, half, full and ultra marathon, triathlon) and those",marathon-running
Couch to,Running 5K,134781.0,NHS forum for the Couch to 5K community. For help and information to get you out of the door and running please have a browse through our FAQ posts: h,couchto5k
Crohn's and Colitis Support,Crohn's & colitis,5589.0,"We are a peer support community for people living with Crohn's disease and Ulcerative colitis. Here we share our experiences, ask questions and suppor",crohns-colitis-support
Myalgic Encephalomyelitis Community,Myalgic encephalomyelitis,2128.0,"Myalgic Encephalomyelitis (ME) Community is a peer support community for people who living with ME, aka chronic fatigue syndrome (CFS). Join to connec",meandcfssupport
Sjogren's Support,Sjogren's,781.0,This community is a safe space for members to chat about their experience with Sjogren's syndrome.,sjogrens-support
High Blood Pressure Support,High blood pressure,5719.0,"We are a peer support community for people living with Hypertension and High Blood Pressure. Join to ask questions, blog about living with HBP and con",blood-pressure-support
BASHH, Sexual health & HIV,21316.0,The British Association for Sexual Health and HIV or BASHH for short is the UK's leading organisation dealing with all aspects of sexual health includ,bashh
British Liver Trust,Liver,39179.0,"The British Liver Trust helps everyone affected by any liver condition, providing support, information and guidance, and lobbying for improved service",britishlivertrust
Living with Asthma,Asthma,3703.0,"Living with Asthma is a community for people with asthma who want to learn more about their condition from their peers, and help support one another. ",livingwithasthma
Acid Reflux Support,Acid Reflux,1811.0,"For more than three decades, the OPA has fought against oesophageal and gastric cancers, raising awareness, supporting patients, caregivers and their ",opa-gord
Bronchiectasis Support,Bronchiectasis,977.0,The Bronchiectasis Support Community is run by HealthUnlocked and is an online peer-to-peer support network for people affected by bronchiectasis or t,bronchiectasis-support
PCOS UK (Verity),Polycystic ovary syndr.,10271.0,Verity is a self-help group for women with polycystic ovary syndrome (PCOS).  The group was established in 1997 to share the truth about the condition,verity-pcos
Endometriosis New Zealand,Endometriosis,1301.0,Endometriosis New Zealand is New Zealand’s national endometriosis organisation and has affiliated Support Networks throughout the country.We represent,endometriosis-nz
The Endometriosis Foundation,Endometriosis,1303.0,"The Endometriosis Foundation (also known as women with endometriosis)is a Charity dedicated to raising awareness, informing and supporting those affec",the-endometriosis-foundation
Fertility Network UK,Fertility,58778.0,Fertility Network UK is a registered charity supporting anyone who is affected by fertility problems. Whether you are just starting to have concerns a,fertility-network-uk
Health Walk,Health walk,625.0,"Whether you would like to get walking regularly to improve your mind and body health or for pleasure, we can all work together to pass on ideas and en",health-walk
Neuropathy Support,Neuropathy,1752.0,"We are a peer support community for people living with neuropathy. Here we share our experiences, ask questions and support each other!",neuropathy-support
Anxiety and Depression Support,Myalgic encephalomyelitisntal,95511.0,This community is a safe space for those affected by anxiety and depression to talk to others who truly understand. ADAA is a nonprofit dedicated to t,anxiety-depression-support
Heart Rhythm Disorders Support,Heart health,6973.0,We are an international charity working to support early diagnosis and improve outcomes for arrhythmia patients and carers worldwide. Please share you,heartrhythmcharity
My MSAA Community,Multiple sclerosis,9604.0,The Multiple Sclerosis Association of America (MSAA) is a nonprofit organization improving lives today for the MS community through our vital services,mymsaa
Active Surveillance - Prostate Cancer,Prostate cancer,687.0,"Active Surveillance is about men diagnosed with prostate cancer, trying to maintain the highest quality of life and living long enough to die from som",active-surveillance-prostate
Dystonia Society,Dystonia,614.0,"We are an online community providing support, advocacy and information for anyone affected by the neurological movement condition known as dystonia. J",dystoniasociety
Major Depressive Disorder (MDD) Support,Depressive disord.,2906.0,This is a safe space for those affected by major depressive disorder to share and talk with others who truly understand. ADAA is an international nonp,mdd-support
