label,label_edited
Thyroid UK,Thyroid UK
Couch to,Couch to 5K (Running)
Anxiety and Depression Support,Anxiety & Depression
Lung Conditions Community Forum,Lung Conditions
Fibromyalgia Action UK,Fibromyalgia UK
Fertility Network UK,Fertility UK
Endometriosis UK,Endometriosis UK
Anxiety Support,Anxiety
NRAS,Rheumatoid Arthritis
PMRGCAuk,Polymyalgia Rheumatica & Giant Cell Arteritis UK
CLL Support,Chronic Lymphocytic Leukaemia (CLL)
Atrial Fibrillation Support,Atrial Fibrillation
British Heart Foundation,British Heart
No Smoking Day,No Smoking Day
Quit Support,Quit
LUPUS UK,LUPUS UK
Advanced Prostate Cancer,Advanced Prostate Cancer
Bridge to,Bridge to 10K (Running)
Asthma Community Forum,Asthma
Pernicious Anaemia Society,Pernicious Anaemia
British Liver Trust,British Liver Trust
IBS Network,Irritable Bowel Syndrome (IBS)
Heal My PTSD,Heal My PTSD
Pain Concern,Pain Concern
Diabetes India,Diabetes India
Hughes Syndrome APS Forum,Hughes Syndrome APS
Men's Health Forum (Penis Health),Men's Health (Penis Health)
PBC Foundation,Primary Biliary Cholangitis (PBS) (Autoimmune)
CHADD's ADHD Parents Together,CHADD's ADHD Parents Together
CHADD's Adult ADHD Support,CHADD's Adult ADHD
Tinnitus UK,Tinnitus UK
Kidney Disease,Kidney Disease
Ataxia UK,Ataxia UK
Men's Health Forum,Men's Health
Gluten Free Guerrillas,Gluten Free Guerrillas
Behçet's UK,Behçet's UK (Autoimmune)
Women's Health,Women's Health
The Roy Castle Lung Cancer Foundation,Lung Cancer
Living with Anxiety,Living with Anxiety
Bone Health and Osteoporosis UK,Bone Health & Osteoporosis UK
ERIC,ERIC (Bowel & Bladder)
Early CKD Support,Early Chronic Kidney Disease (CKD)
Action on Postpartum Psychosis,Postpartum Psychosis
National Migraine Centre,National Migraine Centre
LSN,Lymphoedema 
Cholesterol Support,Cholesterol
Macular Society,Macular
ICUsteps,Intensive Care Unit (ICU) Steps 
Active,Active
Care Community,Care Community
Lung Cancer Support,Lung Cancer
Arthritis Action,Arthritis
Glaucoma UK,Glaucoma UK
Meningitis Now,Meningitis Now
ITP Support Association,Immune Thrombocytopenia (ITP) Association
MY SKIN,MY SKIN
Crohn's and Colitis Support,Crohn's and Colitis
Diabetes Research & Wellness Foundation,Diabetes Research & Wellness
Above & Beyond - Mental Health,Above & Beyond - Mental Health
High Blood Pressure Support,High Blood Pressure
COPD Friends,Chronic Obstructive Pulmonary Disease (COPD) Friends
Fight Prostate Cancer,Fight Prostate Cancer
"Fertility, Miscarriage & IVF Support",Fertility & Miscarriage & IVF
Anticoagulation Support,Anticoagulation
Diabetes & Hypertension Help Society,Diabetes & Hypertension
LUpus Patients Understanding and Support,LUpus Patients Understanding
Apoyo para Ansiedad y Depresion,Apoyo para Ansiedad y Depresion (Anxxiety & Depression)
Fertility Network UK - Pregnancy Support,Fertility Network UK  - Pregnancy
HFI Connect - Hepatitis,HFI Connect - Hepatitis
AMN EASIER,Adrenomyeloneuropathy (AMN) EASIER
The Ehlers-Danlos Support UK,The Ehlers-Danlos UK
Acoustic Neuroma Support,Acoustic Neuroma
Osteoporosis Support,Osteoporosis
Leukaemia Support,Leukaemia
Changing Faces,Changing Faces
HIV Partners,HIV Partners
Sudden Cardiac Arrest & Heart Attack,Sudden Cardiac Arrest & Heart Attack
Living with Asthma,Living with Asthma
Drink Free,Drink Free
Tourettes Action,Tourettes
Charcot-Marie-Tooth UK,Charcot-Marie-Tooth UK
Acid Reflux Support,Acid Reflux
FASD Support,Foetal Alcohol Spectrum Disorders (FASD)
Aspergillosis and Rare Fungal Infection Support,Aspergillosis and Rare Fungal Infection
Osteoarthritis Action,Osteoarthritis
Menopause and Perimenopause Support,Menopause and Perimenopause
