community_url,label,member_count,Id,type,label_2,longitude,latitude
thyroiduk,Thyroid UK,168733.0,thyroiduk_co-occurrence,community,Thyroid UK (168733),-50,0.0
couchto5k,Couch to,159886.0,couchto5k_co-occurrence,community,Couch to (159886),-50,-2.588235294117647
anxiety-depression-support,Anxiety and Depression Support,88818.0,anxiety-depression-support_co-occurrence,community,Anxiety and Depression Support (88818),-50,-5.176470588235294
asthmalunguk-lung,Lung Conditions Community Forum,67506.0,asthmalunguk-lung_co-occurrence,community,Lung Conditions Community Forum (67506),-50,-7.764705882352942
fibromyalgia-action-uk,Fibromyalgia Action UK,67449.0,fibromyalgia-action-uk_co-occurrence,community,Fibromyalgia Action UK (67449),-50,-10.352941176470589
fertility-network-uk,Fertility Network UK,60497.0,fertility-network-uk_co-occurrence,community,Fertility Network UK (60497),-50,-12.941176470588236
endometriosis-uk,Endometriosis UK,53887.0,endometriosis-uk_co-occurrence,community,Endometriosis UK (53887),-50,-15.529411764705884
anxietysupport,Anxiety Support,49558.0,anxietysupport_co-occurrence,community,Anxiety Support (49558),-50,-18.11764705882353
nras,NRAS,46619.0,nras_co-occurrence,community,NRAS (46619),-50,-20.705882352941178
pmrgcauk,PMRGCAuk,41614.0,pmrgcauk_co-occurrence,community,PMRGCAuk (41614),-50,-23.294117647058826
cllsupport,CLL Support,40649.0,cllsupport_co-occurrence,community,CLL Support (40649),-50,-25.88235294117647
afassociation,Atrial Fibrillation Support,39650.0,afassociation_co-occurrence,community,Atrial Fibrillation Support (39650),-50,-28.47058823529412
bhf,British Heart Foundation,35558.0,bhf_co-occurrence,community,British Heart Foundation (35558),-50,-31.058823529411768
nosmokingday,No Smoking Day,32495.0,nosmokingday_co-occurrence,community,No Smoking Day (32495),-50,-33.64705882352941
quitsupport,Quit Support,30561.0,quitsupport_co-occurrence,community,Quit Support (30561),-50,-36.23529411764706
lupusuk,LUPUS UK,28837.0,lupusuk_co-occurrence,community,LUPUS UK (28837),-50,-38.82352941176471
advanced-prostate-cancer,Advanced Prostate Cancer,28798.0,advanced-prostate-cancer_co-occurrence,community,Advanced Prostate Cancer (28798),-50,-41.411764705882355
bridgeto10k,Bridge to,26817.0,bridgeto10k_co-occurrence,community,Bridge to (26817),-50,-44.0
asthmalunguk-asthma,Asthma Community Forum,25092.0,asthmalunguk-asthma_co-occurrence,community,Asthma Community Forum (25092),-50,-46.58823529411765
pasoc,Pernicious Anaemia Society,24457.0,pasoc_co-occurrence,community,Pernicious Anaemia Society (24457),-50,-49.1764705882353
britishlivertrust,British Liver Trust,19073.0,britishlivertrust_co-occurrence,community,British Liver Trust (19073),-50,-51.76470588235294
theibsnetwork,IBS Network,16340.0,theibsnetwork_co-occurrence,community,IBS Network (16340),-50,-54.352941176470594
healmyptsd,Heal My PTSD,12792.0,healmyptsd_co-occurrence,community,Heal My PTSD (12792),-50,-56.94117647058824
painconcern,Pain Concern,12190.0,painconcern_co-occurrence,community,Pain Concern (12190),-50,-59.529411764705884
diabetesindia,Diabetes India,12107.0,diabetesindia_co-occurrence,community,Diabetes India (12107),-50,-62.117647058823536
hughes-syndrome,Hughes Syndrome APS Forum,10649.0,hughes-syndrome_co-occurrence,community,Hughes Syndrome APS Forum (10649),-50,-64.70588235294117
menshealth-penishealth,Men's Health Forum (Penis Health),9139.0,menshealth-penishealth_co-occurrence,community,Men's Health Forum (Penis Health) (9139),-50,-67.29411764705883
pbc-foundation,PBC Foundation,8523.0,pbc-foundation_co-occurrence,community,PBC Foundation (8523),-50,-69.88235294117648
adhd-parents,CHADD's ADHD Parents Together,6541.0,adhd-parents_co-occurrence,community,CHADD's ADHD Parents Together (6541),-50,-72.47058823529412
adult-adhd,CHADD's Adult ADHD Support,6368.0,adult-adhd_co-occurrence,community,CHADD's Adult ADHD Support (6368),-50,-75.05882352941177
tinnitus-uk,Tinnitus UK,5616.0,tinnitus-uk_co-occurrence,community,Tinnitus UK (5616),-50,-77.64705882352942
nkf-ckd,Kidney Disease,5304.0,nkf-ckd_co-occurrence,community,Kidney Disease (5304),-50,-80.23529411764706
ataxia-uk,Ataxia UK,4708.0,ataxia-uk_co-occurrence,community,Ataxia UK (4708),-50,-82.82352941176471
menshealth,Men's Health Forum,4668.0,menshealth_co-occurrence,community,Men's Health Forum (4668),-50,-85.41176470588236
glutenfreeguerrillas,Gluten Free Guerrillas,4439.0,glutenfreeguerrillas_co-occurrence,community,Gluten Free Guerrillas (4439),-50,-88.0
behcetsuk,Behçet's UK,4412.0,behcetsuk_co-occurrence,community,Behçet's UK (4412),-50,-90.58823529411765
womenshealth,Women's Health,4181.0,womenshealth_co-occurrence,community,Women's Health (4181),-50,-93.1764705882353
lungcancer,The Roy Castle Lung Cancer Foundation,3592.0,lungcancer_co-occurrence,community,The Roy Castle Lung Cancer Foundation (3592),-50,-95.76470588235294
livingwithanxiety,Living with Anxiety,3328.0,livingwithanxiety_co-occurrence,community,Living with Anxiety (3328),-50,-98.3529411764706
bonehealth,Bone Health and Osteoporosis UK,3034.0,bonehealth_co-occurrence,community,Bone Health and Osteoporosis UK (3034),-50,-100.94117647058825
eric,ERIC,3021.0,eric_co-occurrence,community,ERIC (3021),-50,-103.52941176470588
early-ckd-support,Early CKD Support,2783.0,early-ckd-support_co-occurrence,community,Early CKD Support (2783),-50,-106.11764705882354
app-network,Action on Postpartum Psychosis,2730.0,app-network_co-occurrence,community,Action on Postpartum Psychosis (2730),-50,-108.70588235294119
migrainecentre,National Migraine Centre,2704.0,migrainecentre_co-occurrence,community,National Migraine Centre (2704),-50,-111.29411764705883
lsn,LSN,2679.0,lsn_co-occurrence,community,LSN (2679),-50,-113.88235294117648
cholesterol-support,Cholesterol Support,2651.0,cholesterol-support_co-occurrence,community,Cholesterol Support (2651),-50,-116.47058823529413
macularsociety,Macular Society,2646.0,macularsociety_co-occurrence,community,Macular Society (2646),-50,-119.05882352941177
icusteps,ICUsteps,2515.0,icusteps_co-occurrence,community,ICUsteps (2515),-50,-121.64705882352942
active10,Active,2446.0,active10_co-occurrence,community,Active (2446),-50,-124.23529411764707
care-community,Care Community,2372.0,care-community_co-occurrence,community,Care Community (2372),-50,-126.82352941176471
lung-cancer-support,Lung Cancer Support,2224.0,lung-cancer-support_co-occurrence,community,Lung Cancer Support (2224),-50,-129.41176470588235
arthritis-action,Arthritis Action,2183.0,arthritis-action_co-occurrence,community,Arthritis Action (2183),-50,-132.0
glaucoma-uk,Glaucoma UK,2179.0,glaucoma-uk_co-occurrence,community,Glaucoma UK (2179),-50,-134.58823529411765
meningitisnow,Meningitis Now,2133.0,meningitisnow_co-occurrence,community,Meningitis Now (2133),-50,-137.1764705882353
itpsupport,ITP Support Association,2123.0,itpsupport_co-occurrence,community,ITP Support Association (2123),-50,-139.76470588235296
my-skin,MY SKIN,1941.0,my-skin_co-occurrence,community,MY SKIN (1941),-50,-142.3529411764706
crohns-colitis-support,Crohn's and Colitis Support,1771.0,crohns-colitis-support_co-occurrence,community,Crohn's and Colitis Support (1771),-50,-144.94117647058823
drwfdiabetes,Diabetes Research & Wellness Foundation,1606.0,drwfdiabetes_co-occurrence,community,Diabetes Research & Wellness Foundation (1606),-50,-147.52941176470588
above-beyond,Above & Beyond - Mental Health,1540.0,above-beyond_co-occurrence,community,Above & Beyond - Mental Health (1540),-50,-150.11764705882354
blood-pressure-support,High Blood Pressure Support,1539.0,blood-pressure-support_co-occurrence,community,High Blood Pressure Support (1539),-50,-152.7058823529412
copd-friends,COPD Friends,1473.0,copd-friends_co-occurrence,community,COPD Friends (1473),-50,-155.29411764705884
fight-prostate-cancer,Fight Prostate Cancer,1388.0,fight-prostate-cancer_co-occurrence,community,Fight Prostate Cancer (1388),-50,-157.8823529411765
fertility-ivf,"Fertility, Miscarriage & IVF Support",1381.0,fertility-ivf_co-occurrence,community,"Fertility, Miscarriage & IVF Support (1381)",-50,-160.47058823529412
anticoagulation-support,Anticoagulation Support,1377.0,anticoagulation-support_co-occurrence,community,Anticoagulation Support (1377),-50,-163.05882352941177
diabeteshelp,Diabetes & Hypertension Help Society,1353.0,diabeteshelp_co-occurrence,community,Diabetes & Hypertension Help Society (1353),-50,-165.64705882352942
lupus-support,LUpus Patients Understanding and Support,1292.0,lupus-support_co-occurrence,community,LUpus Patients Understanding and Support (1292),-50,-168.23529411764707
ansiedad-depresion-apoyo,Apoyo para Ansiedad y Depresion,1286.0,ansiedad-depresion-apoyo_co-occurrence,community,Apoyo para Ansiedad y Depresion (1286),-50,-170.82352941176472
fertility-network-uk-pregnancy,Fertility Network UK - Pregnancy Support,1234.0,fertility-network-uk-pregnancy_co-occurrence,community,Fertility Network UK - Pregnancy Support (1234),-50,-173.41176470588235
