community_url,label,member_count,Id,type,label_2,longitude,latitude
myositisuk,Myositis UK,543.0,myositisuk_co-occurrence,community,Myositis UK (543),30,42
sicklecellsociety,Sickle Cell Society,521.0,sicklecellsociety_co-occurrence,community,Sickle Cell Society (521),30,41
dialysis-support,Dialysis Support,516.0,dialysis-support_co-occurrence,community,Dialysis Support (516),30,40
erectile-dysfunction-support,Erectile Dysfunction Support,508.0,erectile-dysfunction-support_co-occurrence,community,Erectile Dysfunction Support (508),30,39
baby-and-us,Baby and Us,507.0,baby-and-us_co-occurrence,community,Baby and Us (507),30,38
beyond-psoriasis,Beyond Psoriasis,507.0,beyond-psoriasis_co-occurrence,community,Beyond Psoriasis (507),30,37
migraine-support,Migraine Support,503.0,migraine-support_co-occurrence,community,Migraine Support (503),30,36
cll-america-support,CLL America Support,478.0,cll-america-support_co-occurrence,community,CLL America Support (478),30,35
hep-c-trust,Hepatitis C Trust,468.0,hep-c-trust_co-occurrence,community,Hepatitis C Trust (468),30,34
differentstrokes,Different Strokes,467.0,differentstrokes_co-occurrence,community,Different Strokes (467),30,33
bronchiectasis-support,Bronchiectasis Support,452.0,bronchiectasis-support_co-occurrence,community,Bronchiectasis Support (452),30,32
arrhythmia-alliance-heart-failure,Heart Failure Support,449.0,arrhythmia-alliance-heart-failure_co-occurrence,community,Heart Failure Support (449),30,31
sensitiveissuesmen,Sensitive Issues for Men,441.0,sensitiveissuesmen_co-occurrence,community,Sensitive Issues for Men (441),30,30
tb-alert,TB Alert,419.0,tb-alert_co-occurrence,community,TB Alert (419),30,29
transplant-support,Kidney Transplant Patient Support,395.0,transplant-support_co-occurrence,community,Kidney Transplant Patient Support (395),30,28
active-surveillance-prostate,Active Surveillance - Prostate Cancer,388.0,active-surveillance-prostate_co-occurrence,community,Active Surveillance - Prostate Cancer (388),30,27
alzheimer-support,Memory Health: Alzheimer's Support Group,385.0,alzheimer-support_co-occurrence,community,Memory Health: Alzheimer's Support Group (385),30,26
one-norfolk-parents,Ask Norfolk Parents,384.0,one-norfolk-parents_co-occurrence,community,Ask Norfolk Parents (384),30,25
melanomacaregivers,Melanoma Caregivers,381.0,melanomacaregivers_co-occurrence,community,Melanoma Caregivers (381),30,24
brain-aneurysm-support,Brain Aneurysm Support,370.0,brain-aneurysm-support_co-occurrence,community,Brain Aneurysm Support (370),30,23
bowel-disease-support,Bowel Disease Support,369.0,bowel-disease-support_co-occurrence,community,Bowel Disease Support (369),30,22
actiononpain,Action on Pain,366.0,actiononpain_co-occurrence,community,Action on Pain (366),30,21
continencesupport,Continence Support,365.0,continencesupport_co-occurrence,community,Continence Support (365),30,20
pancreatitis-support,Chronic Pancreatitis Support,362.0,pancreatitis-support_co-occurrence,community,Chronic Pancreatitis Support (362),30,19
