Id,type,label,cluster_id,cluster_size,label_2,longitude,latitude,community_url,member_count
Medications & Treatment Monitoring,cluster,Medications,Medications,338.0,Medications (338),0,0.0,,
Cancer & Oncology,cluster,Cancer,Cancer,274.0,Cancer (274),0,-10.0,,
Neurological Disorders,cluster,Neurological,Neurological,249.0,Neurological (249),0,-20.0,,
Pain & Musculoskeletal Conditions,cluster,Pain,Pain,216.0,Pain (216),0,-30.0,,
Mental Health & Emotional Wellbeing,cluster,Mental,Mental,201.0,Mental (201),0,-40.0,,
Digestive Health (Gastrointestinal Conditions),cluster,Digestive,Digestive,196.0,Digestive (196),0,-50.0,,
Cardiovascular Diseases,cluster,Cardiovascular,Cardiovascular,207.0,Cardiovascular (207),0,-60.0,,
Reproductive & Sexual Health (Women's Health & Men's Health),cluster,Reproductive,Reproductive,171.0,Reproductive (171),0,-70.0,,
"Lifestyle, Diet & Supplements",cluster,Lifestyle,Lifestyle,162.0,Lifestyle (162),0,-80.0,,
Metabolic & Endocrine Disorders,cluster,Metabolic,Metabolic,152.0,Metabolic (152),0,-90.0,,
Respiratory Conditions & Treatments,cluster,Respiratory,Respiratory,125.0,Respiratory (125),0,-100.0,,
Dermatology & Skin-Related,cluster,Dermatology,Dermatology,113.0,Dermatology (113),0,-110.0,,
Autoimmune Diseases,cluster,Autoimmune,Autoimmune,112.0,Autoimmune (112),0,-120.0,,
Eye & Vision Health,cluster,Vision,Vision,87.0,Vision (87),0,-130.0,,
Renal & Liver Diseases,cluster,Renal/Liver,Renal/Liver,76.0,Renal/Liver (76),0,-140.0,,
Infectious & Communicable Diseases,cluster,Infectious,Infectious,72.0,Infectious (72),0,-150.0,,
Hematology & Blood Disorders,cluster,Hematology,Hematology,44.0,Hematology (44),0,-160.0,,
Preventive Health & Screening,cluster,Preventive,Preventive,42.0,Preventive (42),0,-170.0,,
Allergy & Immunology,cluster,Allergy,Allergy,37.0,Allergy (37),0,-180.0,,
Substance Abuse & Addiction,cluster,Addiction,Addiction,31.0,Addiction (31),0,-190.0,,
