community_url,label,member_count,Id,type,label_2,longitude,latitude
myositisuk,Myositis UK,543.0,myositisuk_co-occurrence,community,Myositis UK (543),50,0.0
sicklecellsociety,Sickle Cell Society,521.0,sicklecellsociety_co-occurrence,community,Sickle Cell Society (521),50,-2.619047619047619
dialysis-support,Dialysis Support,516.0,dialysis-support_co-occurrence,community,Dialysis Support (516),50,-5.238095238095238
erectile-dysfunction-support,Erectile Dysfunction Support,508.0,erectile-dysfunction-support_co-occurrence,community,Erectile Dysfunction Support (508),50,-7.857142857142858
baby-and-us,Baby and Us,507.0,baby-and-us_co-occurrence,community,Baby and Us (507),50,-10.476190476190476
beyond-psoriasis,Beyond Psoriasis,507.0,beyond-psoriasis_co-occurrence,community,Beyond Psoriasis (507),50,-13.095238095238095
migraine-support,Migraine Support,503.0,migraine-support_co-occurrence,community,Migraine Support (503),50,-15.714285714285715
cll-america-support,CLL America Support,478.0,cll-america-support_co-occurrence,community,CLL America Support (478),50,-18.333333333333332
hep-c-trust,Hepatitis C Trust,468.0,hep-c-trust_co-occurrence,community,Hepatitis C Trust (468),50,-20.952380952380953
differentstrokes,Different Strokes,467.0,differentstrokes_co-occurrence,community,Different Strokes (467),50,-23.571428571428573
bronchiectasis-support,Bronchiectasis Support,452.0,bronchiectasis-support_co-occurrence,community,Bronchiectasis Support (452),50,-26.19047619047619
arrhythmia-alliance-heart-failure,Heart Failure Support,449.0,arrhythmia-alliance-heart-failure_co-occurrence,community,Heart Failure Support (449),50,-28.80952380952381
sensitiveissuesmen,Sensitive Issues for Men,441.0,sensitiveissuesmen_co-occurrence,community,Sensitive Issues for Men (441),50,-31.42857142857143
tb-alert,TB Alert,419.0,tb-alert_co-occurrence,community,TB Alert (419),50,-34.04761904761905
transplant-support,Kidney Transplant Patient Support,395.0,transplant-support_co-occurrence,community,Kidney Transplant Patient Support (395),50,-36.666666666666664
active-surveillance-prostate,Active Surveillance - Prostate Cancer,388.0,active-surveillance-prostate_co-occurrence,community,Active Surveillance - Prostate Cancer (388),50,-39.285714285714285
alzheimer-support,Memory Health: Alzheimer's Support Group,385.0,alzheimer-support_co-occurrence,community,Memory Health: Alzheimer's Support Group (385),50,-41.904761904761905
one-norfolk-parents,Ask Norfolk Parents,384.0,one-norfolk-parents_co-occurrence,community,Ask Norfolk Parents (384),50,-44.523809523809526
melanomacaregivers,Melanoma Caregivers,381.0,melanomacaregivers_co-occurrence,community,Melanoma Caregivers (381),50,-47.142857142857146
brain-aneurysm-support,Brain Aneurysm Support,370.0,brain-aneurysm-support_co-occurrence,community,Brain Aneurysm Support (370),50,-49.76190476190476
bowel-disease-support,Bowel Disease Support,369.0,bowel-disease-support_co-occurrence,community,Bowel Disease Support (369),50,-52.38095238095238
actiononpain,Action on Pain,366.0,actiononpain_co-occurrence,community,Action on Pain (366),50,-55.0
continencesupport,Continence Support,365.0,continencesupport_co-occurrence,community,Continence Support (365),50,-57.61904761904762
pancreatitis-support,Chronic Pancreatitis Support,362.0,pancreatitis-support_co-occurrence,community,Chronic Pancreatitis Support (362),50,-60.23809523809524
fightbladdercancer,Fight Bladder Cancer,360.0,fightbladdercancer_co-occurrence,community,Fight Bladder Cancer (360),50,-62.85714285714286
hep-c-support,Hepatitis C Support,359.0,hep-c-support_co-occurrence,community,Hepatitis C Support (359),50,-65.47619047619048
arrhythmia-alliance-svt,Supraventricular Tachycardia Support,329.0,arrhythmia-alliance-svt_co-occurrence,community,Supraventricular Tachycardia Support (329),50,-68.0952380952381
alopeciauk,Alopecia UK,312.0,alopeciauk_co-occurrence,community,Alopecia UK (312),50,-70.71428571428571
diabetes-support,Diabetes Support,310.0,diabetes-support_co-occurrence,community,Diabetes Support (310),50,-73.33333333333333
liver4life,Liver,308.0,liver4life_co-occurrence,community,Liver (308),50,-75.95238095238095
pcdsupport,PCD Family Support Group (UK),302.0,pcdsupport_co-occurrence,community,PCD Family Support Group (UK) (302),50,-78.57142857142857
graves-disease-support,Graves Disease Support,296.0,graves-disease-support_co-occurrence,community,Graves Disease Support (296),50,-81.19047619047619
pbcers,PBCers Organization,294.0,pbcers_co-occurrence,community,PBCers Organization (294),50,-83.80952380952381
