Id,type,label,cluster_id,cluster_size,label_2,longitude,latitude
Medications & Treatment Monitoring,cluster,Medications,Medications,338,Medications (338),-40,41.0
Cancer & Oncology,cluster,Cancer,Cancer,274,Cancer (274),-40,37.18181818181818
Neurological Disorders,cluster,Neurological,Neurological,249,Neurological (249),-40,33.36363636363636
Pain & Musculoskeletal Conditions,cluster,Pain,Pain,216,Pain (216),-40,29.545454545454547
Mental Health & Emotional Wellbeing,cluster,Mental,Mental,201,Mental (201),-40,25.727272727272727
Digestive Health (Gastrointestinal Conditions),cluster,Digestive,Digestive,196,Digestive (196),-40,21.909090909090907
Cardiovascular Diseases,cluster,Cardiovascular,Cardiovascular,207,Cardiovascular (207),-40,18.09090909090909
Reproductive & Sexual Health (Women's Health & Men's Health),cluster,Reproductive,Reproductive,171,Reproductive (171),-40,14.272727272727272
"Lifestyle, Diet & Supplements",cluster,Lifestyle,Lifestyle,162,Lifestyle (162),-40,10.454545454545451
Metabolic & Endocrine Disorders,cluster,Metabolic,Metabolic,152,Metabolic (152),-40,6.636363636363633
Respiratory Conditions & Treatments,cluster,Respiratory,Respiratory,125,Respiratory (125),-40,2.818181818181813
Dermatology & Skin-Related,cluster,Dermatology,Dermatology,113,Dermatology (113),-40,-1.0
Autoimmune Diseases,cluster,Autoimmune,Autoimmune,112,Autoimmune (112),-40,-4.81818181818182
Eye & Vision Health,cluster,Vision,Vision,87,Vision (87),-40,-8.63636363636364
Renal & Liver Diseases,cluster,Renal/Liver,Renal/Liver,76,Renal/Liver (76),-40,-12.454545454545451
Infectious & Communicable Diseases,cluster,Infectious,Infectious,72,Infectious (72),-40,-16.272727272727273
Hematology & Blood Disorders,cluster,Hematology,Hematology,44,Hematology (44),-40,-20.090909090909093
Preventive Health & Screening,cluster,Preventive,Preventive,42,Preventive (42),-40,-23.909090909090907
Allergy & Immunology,cluster,Allergy,Allergy,37,Allergy (37),-40,-27.727272727272734
Substance Abuse & Addiction,cluster,Addiction,Addiction,31,Addiction (31),-40,-31.545454545454547
"Procedures, Surgeries & Medical Devices",cluster,Procedures,Procedures,29,Procedures (29),-40,-35.363636363636374
Rare Diseases & Genetic Disorders,cluster,Rare Diseases,Rare Diseases,17,Rare Diseases (17),-40,-39.18181818181819
Patient Support & Education,cluster,Patient Support,Patient Support,14,Patient Support (14),-40,-43.0
