source,target
Pain & Musculoskeletal Conditions,actiononpain_co-occurrence
Pain & Musculoskeletal Conditions,chronic-myofascial-pain_co-occurrence
Autoimmune Diseases,mga_co-occurrence
Autoimmune Diseases,sjogrens-support_co-occurrence
Autoimmune Diseases,fierybones-ra_co-occurrence
Autoimmune Diseases,partnersforbehcets_co-occurrence
"Lifestyle, Diet & Supplements",myelomauk_co-occurrence
"Lifestyle, Diet & Supplements",blog_co-occurrence
"Lifestyle, Diet & Supplements",cookforyourlife_co-occurrence
"Lifestyle, Diet & Supplements",dialysis-support_co-occurrence
Mental Health & Emotional Wellbeing,apma_co-occurrence
Mental Health & Emotional Wellbeing,barretts-oesophagus_co-occurrence
Neurological Disorders,migraine-support_co-occurrence
Neurological Disorders,brain-aneurysm-support_co-occurrence
Neurological Disorders,dystoniasociety_co-occurrence
Neurological Disorders,epilepsysociety_co-occurrence
Neurological Disorders,meningioma-support_co-occurrence
Reproductive & Sexual Health (Women's Health & Men's Health),menopause-perimenopause-support_co-occurrence
Reproductive & Sexual Health (Women's Health & Men's Health),sensitiveissuesmen_co-occurrence
Reproductive & Sexual Health (Women's Health & Men's Health),the-endometriosis-foundation_co-occurrence
Reproductive & Sexual Health (Women's Health & Men's Health),adenomyosisadviceassociation_co-occurrence
Reproductive & Sexual Health (Women's Health & Men's Health),baby-and-us_co-occurrence
"Procedures, Surgeries & Medical Devices",pseudomyxoma-survivor_co-occurrence
"Procedures, Surgeries & Medical Devices",youngadultswithmelanoma_co-occurrence
"Procedures, Surgeries & Medical Devices",apma_co-occurrence
"Procedures, Surgeries & Medical Devices",bws-support_co-occurrence
"Procedures, Surgeries & Medical Devices",cavernoma-uk_co-occurrence
"Procedures, Surgeries & Medical Devices",glioblastoma-support_co-occurrence
"Procedures, Surgeries & Medical Devices",melanomacaregivers_co-occurrence
Cancer & Oncology,active-surveillance-prostate_co-occurrence
Cancer & Oncology,cancer-journeys-foundation_co-occurrence
Cancer & Oncology,cll-america-support_co-occurrence
Cancer & Oncology,fight-mpn_co-occurrence
Cancer & Oncology,glioblastoma-support_co-occurrence
Cardiovascular Diseases,arrhythmia-alliance-heart-failure_co-occurrence
Cardiovascular Diseases,arrhythmia-alliance-svt_co-occurrence
Cardiovascular Diseases,differentstrokes_co-occurrence
Cardiovascular Diseases,heart-valve-voice_co-occurrence
Renal & Liver Diseases,c3g_co-occurrence
Renal & Liver Diseases,hep-c-support_co-occurrence
Renal & Liver Diseases,liver4life_co-occurrence
Renal & Liver Diseases,livernorth_co-occurrence
Renal & Liver Diseases,pkdcharity-autosomaldominant_co-occurrence
Renal & Liver Diseases,transplant-support_co-occurrence
Renal & Liver Diseases,continencesupport_co-occurrence
Metabolic & Endocrine Disorders,alzheimer-support_co-occurrence
Metabolic & Endocrine Disorders,diabetes-support_co-occurrence
Metabolic & Endocrine Disorders,graves-disease-support_co-occurrence
Metabolic & Endocrine Disorders,myositisuk_co-occurrence
Patient Support & Education,baby-and-us_co-occurrence
Patient Support & Education,one-norfolk-parents_co-occurrence
Patient Support & Education,fertility-road_co-occurrence
Patient Support & Education,mamafit_co-occurrence
Patient Support & Education,nkf-parents_co-occurrence
Dermatology & Skin-Related,beyond-psoriasis_co-occurrence
Dermatology & Skin-Related,alopeciauk_co-occurrence
Dermatology & Skin-Related,adult-acne-support_co-occurrence
Medications & Treatment Monitoring,alopeciauk_co-occurrence
Medications & Treatment Monitoring,arrhythmia-alliance-svt_co-occurrence
Medications & Treatment Monitoring,differentstrokes_co-occurrence
Medications & Treatment Monitoring,erectile-dysfunction-support_co-occurrence
