Id,type,label,cluster_id,cluster_size,label_2,longitude,latitude,community_url,label_old,member_count,label_edited_count
Medications & Treatment Monitoring,cluster,Medications,Medications,338.0,Medications (338),-40,41.0,,,,
Cancer & Oncology,cluster,Cancer,Cancer,274.0,Cancer (274),-40,37.18181818181818,,,,
Neurological Disorders,cluster,Neurological,Neurological,249.0,Neurological (249),-40,33.36363636363636,,,,
Pain & Musculoskeletal Conditions,cluster,Pain,Pain,216.0,Pain (216),-40,29.545454545454547,,,,
Mental Health & Emotional Wellbeing,cluster,Mental,Mental,201.0,Mental (201),-40,25.727272727272727,,,,
Digestive Health (Gastrointestinal Conditions),cluster,Digestive,Digestive,196.0,Digestive (196),-40,21.909090909090907,,,,
Cardiovascular Diseases,cluster,Cardiovascular,Cardiovascular,207.0,Cardiovascular (207),-40,18.09090909090909,,,,
Reproductive & Sexual Health (Women's Health & Men's Health),cluster,Reproductive,Reproductive,171.0,Reproductive (171),-40,14.272727272727272,,,,
"Lifestyle, Diet & Supplements",cluster,Lifestyle,Lifestyle,162.0,Lifestyle (162),-40,10.454545454545451,,,,
Metabolic & Endocrine Disorders,cluster,Metabolic,Metabolic,152.0,Metabolic (152),-40,6.636363636363633,,,,
Respiratory Conditions & Treatments,cluster,Respiratory,Respiratory,125.0,Respiratory (125),-40,2.818181818181813,,,,
Dermatology & Skin-Related,cluster,Dermatology,Dermatology,113.0,Dermatology (113),-40,-1.0,,,,
Autoimmune Diseases,cluster,Autoimmune,Autoimmune,112.0,Autoimmune (112),-40,-4.81818181818182,,,,
Eye & Vision Health,cluster,Vision,Vision,87.0,Vision (87),-40,-8.63636363636364,,,,
Renal & Liver Diseases,cluster,Renal/Liver,Renal/Liver,76.0,Renal/Liver (76),-40,-12.454545454545451,,,,
Infectious & Communicable Diseases,cluster,Infectious,Infectious,72.0,Infectious (72),-40,-16.272727272727273,,,,
Hematology & Blood Disorders,cluster,Hematology,Hematology,44.0,Hematology (44),-40,-20.090909090909093,,,,
Preventive Health & Screening,cluster,Preventive,Preventive,42.0,Preventive (42),-40,-23.909090909090907,,,,
Allergy & Immunology,cluster,Allergy,Allergy,37.0,Allergy (37),-40,-27.727272727272734,,,,
Substance Abuse & Addiction,cluster,Addiction,Addiction,31.0,Addiction (31),-40,-31.545454545454547,,,,
"Procedures, Surgeries & Medical Devices",cluster,Procedures,Procedures,29.0,Procedures (29),-40,-35.363636363636374,,,,
Rare Diseases & Genetic Disorders,cluster,Rare Diseases,Rare Diseases,17.0,Rare Diseases (17),-40,-39.18181818181819,,,,
Patient Support & Education,cluster,Patient Support,Patient Support,14.0,Patient Support (14),-40,-43.0,,,,
menopause-perimenopause-support_co-occurrence,community,Menopause and Perimenopause,,,Menopause and Perimenopause Support (554),40,41.0,menopause-perimenopause-support,Menopause and Perimenopause Support,554.0,Menopause and Perimenopause (554)
myositisuk_co-occurrence,community,Myositis UK,,,Myositis UK (543),40,40.0,myositisuk,Myositis UK,543.0,Myositis UK (543)
sicklecellsociety_co-occurrence,community,Sickle Cell,,,Sickle Cell Society (521),40,39.0,sicklecellsociety,Sickle Cell Society,521.0,Sickle Cell (521)
dialysis-support_co-occurrence,community,Dialysis,,,Dialysis Support (516),40,38.0,dialysis-support,Dialysis Support,516.0,Dialysis (516)
erectile-dysfunction-support_co-occurrence,community,Erectile Dysfunction,,,Erectile Dysfunction Support (508),40,37.0,erectile-dysfunction-support,Erectile Dysfunction Support,508.0,Erectile Dysfunction (508)
baby-and-us_co-occurrence,community,Baby and Us,,,Baby and Us (507),40,36.0,baby-and-us,Baby and Us,507.0,Baby and Us (507)
beyond-psoriasis_co-occurrence,community,Beyond Psoriasis,,,Beyond Psoriasis (507),40,35.0,beyond-psoriasis,Beyond Psoriasis,507.0,Beyond Psoriasis (507)
migraine-support_co-occurrence,community,Migraine,,,Migraine Support (503),40,34.0,migraine-support,Migraine Support,503.0,Migraine (503)
cll-america-support_co-occurrence,community,Chronic Lymphocytic Leukemia (CLL) America,,,CLL America Support (478),40,33.0,cll-america-support,CLL America Support,478.0,Chronic Lymphocytic Leukemia (CLL) America (478)
hep-c-trust_co-occurrence,community,Hepatitis C Trust,,,Hepatitis C Trust (468),40,32.0,hep-c-trust,Hepatitis C Trust,468.0,Hepatitis C Trust (468)
differentstrokes_co-occurrence,community,Different Strokes,,,Different Strokes (467),40,31.0,differentstrokes,Different Strokes,467.0,Different Strokes (467)
bronchiectasis-support_co-occurrence,community,Bronchiectasis,,,Bronchiectasis Support (452),40,30.0,bronchiectasis-support,Bronchiectasis Support,452.0,Bronchiectasis (452)
arrhythmia-alliance-heart-failure_co-occurrence,community,Heart Failure,,,Heart Failure Support (449),40,29.0,arrhythmia-alliance-heart-failure,Heart Failure Support,449.0,Heart Failure (449)
sensitiveissuesmen_co-occurrence,community,Sensitive Issues for Men,,,Sensitive Issues for Men (441),40,28.0,sensitiveissuesmen,Sensitive Issues for Men,441.0,Sensitive Issues for Men (441)
tb-alert_co-occurrence,community,Tuberculosis (TB) Alert,,,TB Alert (419),40,27.0,tb-alert,TB Alert,419.0,Tuberculosis (TB) Alert (419)
transplant-support_co-occurrence,community,Kidney Transplant Patient,,,Kidney Transplant Patient Support (395),40,26.0,transplant-support,Kidney Transplant Patient Support,395.0,Kidney Transplant Patient (395)
active-surveillance-prostate_co-occurrence,community,Active Surveillance - Prostate Cancer,,,Active Surveillance - Prostate Cancer (388),40,25.0,active-surveillance-prostate,Active Surveillance - Prostate Cancer,388.0,Active Surveillance - Prostate Cancer (388)
alzheimer-support_co-occurrence,community,Memory Health: Alzheimer's  Group,,,Memory Health: Alzheimer's Support Group (385),40,24.0,alzheimer-support,Memory Health: Alzheimer's Support Group,385.0,Memory Health: Alzheimer's  Group (385)
one-norfolk-parents_co-occurrence,community,Ask Norfolk Parents,,,Ask Norfolk Parents (384),40,23.0,one-norfolk-parents,Ask Norfolk Parents,384.0,Ask Norfolk Parents (384)
melanomacaregivers_co-occurrence,community,Melanoma Caregivers,,,Melanoma Caregivers (381),40,22.0,melanomacaregivers,Melanoma Caregivers,381.0,Melanoma Caregivers (381)
brain-aneurysm-support_co-occurrence,community,Brain Aneurysm,,,Brain Aneurysm Support (370),40,21.0,brain-aneurysm-support,Brain Aneurysm Support,370.0,Brain Aneurysm (370)
bowel-disease-support_co-occurrence,community,Bowel Disease,,,Bowel Disease Support (369),40,20.0,bowel-disease-support,Bowel Disease Support,369.0,Bowel Disease (369)
actiononpain_co-occurrence,community,Action on Pain,,,Action on Pain (366),40,19.0,actiononpain,Action on Pain,366.0,Action on Pain (366)
continencesupport_co-occurrence,community,Continence,,,Continence Support (365),40,18.0,continencesupport,Continence Support,365.0,Continence (365)
pancreatitis-support_co-occurrence,community,Chronic Pancreatitis,,,Chronic Pancreatitis Support (362),40,17.0,pancreatitis-support,Chronic Pancreatitis Support,362.0,Chronic Pancreatitis (362)
fightbladdercancer_co-occurrence,community,Fight Bladder Cancer,,,Fight Bladder Cancer (360),40,16.0,fightbladdercancer,Fight Bladder Cancer,360.0,Fight Bladder Cancer (360)
hep-c-support_co-occurrence,community,Hepatitis C,,,Hepatitis C Support (359),40,15.0,hep-c-support,Hepatitis C Support,359.0,Hepatitis C (359)
arrhythmia-alliance-svt_co-occurrence,community,Supraventricular Tachycardia,,,Supraventricular Tachycardia Support (329),40,14.0,arrhythmia-alliance-svt,Supraventricular Tachycardia Support,329.0,Supraventricular Tachycardia (329)
alopeciauk_co-occurrence,community,Alopecia UK,,,Alopecia UK (312),40,13.0,alopeciauk,Alopecia UK,312.0,Alopecia UK (312)
diabetes-support_co-occurrence,community,Diabetes,,,Diabetes Support (310),40,12.0,diabetes-support,Diabetes Support,310.0,Diabetes (310)
liver4life_co-occurrence,community,Liver,,,Liver (308),40,11.0,liver4life,Liver,308.0,Liver (308)
pcdsupport_co-occurrence,community,Primary Ciliary Dyskinesia (PCD) Family Support (Rare & Genetic),,,PCD Family Support Group (UK) (302),40,10.0,pcdsupport,PCD Family Support Group (UK),302.0,Primary Ciliary Dyskinesia (PCD) Family Support (Rare & Genetic) (302)
graves-disease-support_co-occurrence,community,Graves Disease,,,Graves Disease Support (296),40,9.0,graves-disease-support,Graves Disease Support,296.0,Graves Disease (296)
