Id,type,label,cluster_id,cluster_size,label_2,longitude,latitude,community_url,label_old,member_count,label_edited_count
Medications & Treatment Monitoring,cluster,Medications,Medications,338.0,Medications (338),-40,41.0,,,,
Cancer & Oncology,cluster,Cancer,Cancer,274.0,Cancer (274),-40,37.18181818181818,,,,
Neurological Disorders,cluster,Neurological,Neurological,249.0,Neurological (249),-40,33.36363636363636,,,,
Pain & Musculoskeletal Conditions,cluster,Pain,Pain,216.0,Pain (216),-40,29.545454545454547,,,,
Mental Health & Emotional Wellbeing,cluster,Mental,Mental,201.0,Mental (201),-40,25.727272727272727,,,,
Digestive Health (Gastrointestinal Conditions),cluster,Digestive,Digestive,196.0,Digestive (196),-40,21.909090909090907,,,,
Cardiovascular Diseases,cluster,Cardiovascular,Cardiovascular,207.0,Cardiovascular (207),-40,18.09090909090909,,,,
Reproductive & Sexual Health (Women's Health & Men's Health),cluster,Reproductive,Reproductive,171.0,Reproductive (171),-40,14.272727272727272,,,,
"Lifestyle, Diet & Supplements",cluster,Lifestyle,Lifestyle,162.0,Lifestyle (162),-40,10.454545454545451,,,,
Metabolic & Endocrine Disorders,cluster,Metabolic,Metabolic,152.0,Metabolic (152),-40,6.636363636363633,,,,
Respiratory Conditions & Treatments,cluster,Respiratory,Respiratory,125.0,Respiratory (125),-40,2.818181818181813,,,,
Dermatology & Skin-Related,cluster,Dermatology,Dermatology,113.0,Dermatology (113),-40,-1.0,,,,
Autoimmune Diseases,cluster,Autoimmune,Autoimmune,112.0,Autoimmune (112),-40,-4.81818181818182,,,,
Eye & Vision Health,cluster,Vision,Vision,87.0,Vision (87),-40,-8.63636363636364,,,,
Renal & Liver Diseases,cluster,Renal/Liver,Renal/Liver,76.0,Renal/Liver (76),-40,-12.454545454545451,,,,
Infectious & Communicable Diseases,cluster,Infectious,Infectious,72.0,Infectious (72),-40,-16.272727272727273,,,,
Hematology & Blood Disorders,cluster,Hematology,Hematology,44.0,Hematology (44),-40,-20.090909090909093,,,,
Preventive Health & Screening,cluster,Preventive,Preventive,42.0,Preventive (42),-40,-23.909090909090907,,,,
Allergy & Immunology,cluster,Allergy,Allergy,37.0,Allergy (37),-40,-27.727272727272734,,,,
Substance Abuse & Addiction,cluster,Addiction,Addiction,31.0,Addiction (31),-40,-31.545454545454547,,,,
"Procedures, Surgeries & Medical Devices",cluster,Procedures,Procedures,29.0,Procedures (29),-40,-35.363636363636374,,,,
Rare Diseases & Genetic Disorders,cluster,Rare Diseases,Rare Diseases,17.0,Rare Diseases (17),-40,-39.18181818181819,,,,
Patient Support & Education,cluster,Patient Support,Patient Support,14.0,Patient Support (14),-40,-43.0,,,,
thyroiduk_co-occurrence,community,Thyroid UK,,,Thyroid UK (168733),40,41.0,thyroiduk,Thyroid UK,168733.0,Thyroid UK (168733)
couchto5k_co-occurrence,community,Couch to 5K (Running),,,Couch to (159886),40,40.0,couchto5k,Couch to,159886.0,Couch to 5K (Running) (159886)
anxiety-depression-support_co-occurrence,community,Anxiety & Depression,,,Anxiety and Depression Support (88818),40,39.0,anxiety-depression-support,Anxiety and Depression Support,88818.0,Anxiety & Depression (88818)
asthmalunguk-lung_co-occurrence,community,Lung Conditions,,,Lung Conditions Community Forum (67506),40,38.0,asthmalunguk-lung,Lung Conditions Community Forum,67506.0,Lung Conditions (67506)
fibromyalgia-action-uk_co-occurrence,community,Fibromyalgia UK,,,Fibromyalgia Action UK (67449),40,37.0,fibromyalgia-action-uk,Fibromyalgia Action UK,67449.0,Fibromyalgia UK (67449)
fertility-network-uk_co-occurrence,community,Fertility UK,,,Fertility Network UK (60497),40,36.0,fertility-network-uk,Fertility Network UK,60497.0,Fertility UK (60497)
endometriosis-uk_co-occurrence,community,Endometriosis UK,,,Endometriosis UK (53887),40,35.0,endometriosis-uk,Endometriosis UK,53887.0,Endometriosis UK (53887)
anxietysupport_co-occurrence,community,Anxiety,,,Anxiety Support (49558),40,34.0,anxietysupport,Anxiety Support,49558.0,Anxiety (49558)
nras_co-occurrence,community,Rheumatoid Arthritis,,,NRAS (46619),40,33.0,nras,NRAS,46619.0,Rheumatoid Arthritis (46619)
pmrgcauk_co-occurrence,community,Polymyalgia Rheumatica & Giant Cell Arteritis UK,,,PMRGCAuk (41614),40,32.0,pmrgcauk,PMRGCAuk,41614.0,Polymyalgia Rheumatica & Giant Cell Arteritis UK (41614)
cllsupport_co-occurrence,community,Chronic Lymphocytic Leukaemia (CLL),,,CLL Support (40649),40,31.0,cllsupport,CLL Support,40649.0,Chronic Lymphocytic Leukaemia (CLL) (40649)
afassociation_co-occurrence,community,Atrial Fibrillation,,,Atrial Fibrillation Support (39650),40,30.0,afassociation,Atrial Fibrillation Support,39650.0,Atrial Fibrillation (39650)
bhf_co-occurrence,community,British Heart,,,British Heart Foundation (35558),40,29.0,bhf,British Heart Foundation,35558.0,British Heart (35558)
nosmokingday_co-occurrence,community,No Smoking Day,,,No Smoking Day (32495),40,28.0,nosmokingday,No Smoking Day,32495.0,No Smoking Day (32495)
quitsupport_co-occurrence,community,Quit,,,Quit Support (30561),40,27.0,quitsupport,Quit Support,30561.0,Quit (30561)
lupusuk_co-occurrence,community,LUPUS UK,,,LUPUS UK (28837),40,26.0,lupusuk,LUPUS UK,28837.0,LUPUS UK (28837)
advanced-prostate-cancer_co-occurrence,community,Advanced Prostate Cancer,,,Advanced Prostate Cancer (28798),40,25.0,advanced-prostate-cancer,Advanced Prostate Cancer,28798.0,Advanced Prostate Cancer (28798)
bridgeto10k_co-occurrence,community,Bridge to 10K (Running),,,Bridge to (26817),40,24.0,bridgeto10k,Bridge to,26817.0,Bridge to 10K (Running) (26817)
asthmalunguk-asthma_co-occurrence,community,Asthma,,,Asthma Community Forum (25092),40,23.0,asthmalunguk-asthma,Asthma Community Forum,25092.0,Asthma (25092)
pasoc_co-occurrence,community,Pernicious Anaemia,,,Pernicious Anaemia Society (24457),40,22.0,pasoc,Pernicious Anaemia Society,24457.0,Pernicious Anaemia (24457)
britishlivertrust_co-occurrence,community,British Liver Trust,,,British Liver Trust (19073),40,21.0,britishlivertrust,British Liver Trust,19073.0,British Liver Trust (19073)
theibsnetwork_co-occurrence,community,Irritable Bowel Syndrome (IBS),,,IBS Network (16340),40,20.0,theibsnetwork,IBS Network,16340.0,Irritable Bowel Syndrome (IBS) (16340)
healmyptsd_co-occurrence,community,Heal My PTSD,,,Heal My PTSD (12792),40,19.0,healmyptsd,Heal My PTSD,12792.0,Heal My PTSD (12792)
painconcern_co-occurrence,community,Pain Concern,,,Pain Concern (12190),40,18.0,painconcern,Pain Concern,12190.0,Pain Concern (12190)
diabetesindia_co-occurrence,community,Diabetes India,,,Diabetes India (12107),40,17.0,diabetesindia,Diabetes India,12107.0,Diabetes India (12107)
hughes-syndrome_co-occurrence,community,Hughes Syndrome APS,,,Hughes Syndrome APS Forum (10649),40,16.0,hughes-syndrome,Hughes Syndrome APS Forum,10649.0,Hughes Syndrome APS (10649)
menshealth-penishealth_co-occurrence,community,Men's Health (Penis Health),,,Men's Health Forum (Penis Health) (9139),40,15.0,menshealth-penishealth,Men's Health Forum (Penis Health),9139.0,Men's Health (Penis Health) (9139)
pbc-foundation_co-occurrence,community,Primary Biliary Cholangitis (PBS) (Autoimmune),,,PBC Foundation (8523),40,14.0,pbc-foundation,PBC Foundation,8523.0,Primary Biliary Cholangitis (PBS) (Autoimmune) (8523)
adhd-parents_co-occurrence,community,CHADD's ADHD Parents Together,,,CHADD's ADHD Parents Together (6541),40,13.0,adhd-parents,CHADD's ADHD Parents Together,6541.0,CHADD's ADHD Parents Together (6541)
adult-adhd_co-occurrence,community,CHADD's Adult ADHD,,,CHADD's Adult ADHD Support (6368),40,12.0,adult-adhd,CHADD's Adult ADHD Support,6368.0,CHADD's Adult ADHD (6368)
tinnitus-uk_co-occurrence,community,Tinnitus UK,,,Tinnitus UK (5616),40,11.0,tinnitus-uk,Tinnitus UK,5616.0,Tinnitus UK (5616)
nkf-ckd_co-occurrence,community,Kidney Disease,,,Kidney Disease (5304),40,10.0,nkf-ckd,Kidney Disease,5304.0,Kidney Disease (5304)
ataxia-uk_co-occurrence,community,Ataxia UK,,,Ataxia UK (4708),40,9.0,ataxia-uk,Ataxia UK,4708.0,Ataxia UK (4708)
