source,target
Pain & Musculoskeletal Conditions,fibromyalgia-action-uk_co-occurrence
Pain & Musculoskeletal Conditions,actiononpain_co-occurrence
Pain & Musculoskeletal Conditions,arthritis-action_co-occurrence
Pain & Musculoskeletal Conditions,bonehealth_co-occurrence
Pain & Musculoskeletal Conditions,chronic-myofascial-pain_co-occurrence
Pain & Musculoskeletal Conditions,edsuk_co-occurrence
Pain & Musculoskeletal Conditions,lsn_co-occurrence
Pain & Musculoskeletal Conditions,oa-action_co-occurrence
Pain & Musculoskeletal Conditions,osteoporosis-support_co-occurrence
Pain & Musculoskeletal Conditions,painconcern_co-occurrence
Autoimmune Diseases,hughes-syndrome_co-occurrence
Autoimmune Diseases,lupus-support_co-occurrence
Autoimmune Diseases,lupusuk_co-occurrence
Autoimmune Diseases,mga_co-occurrence
Autoimmune Diseases,sjogrens-support_co-occurrence
Autoimmune Diseases,behcetsuk_co-occurrence
Autoimmune Diseases,fierybones-ra_co-occurrence
Autoimmune Diseases,nras_co-occurrence
Autoimmune Diseases,partnersforbehcets_co-occurrence
Autoimmune Diseases,pbc-foundation_co-occurrence
"Lifestyle, Diet & Supplements",my-skin_co-occurrence
"Lifestyle, Diet & Supplements",myelomauk_co-occurrence
"Lifestyle, Diet & Supplements",active10_co-occurrence
"Lifestyle, Diet & Supplements",blog_co-occurrence
"Lifestyle, Diet & Supplements",bridgeto10k_co-occurrence
"Lifestyle, Diet & Supplements",care-community_co-occurrence
"Lifestyle, Diet & Supplements",cookforyourlife_co-occurrence
"Lifestyle, Diet & Supplements",couchto5k_co-occurrence
"Lifestyle, Diet & Supplements",demo-community_co-occurrence
"Lifestyle, Diet & Supplements",dialysis-support_co-occurrence
Mental Health & Emotional Wellbeing,apma_co-occurrence
Mental Health & Emotional Wellbeing,barretts-oesophagus_co-occurrence
Mental Health & Emotional Wellbeing,healmyptsd_co-occurrence
Mental Health & Emotional Wellbeing,livingwithanxiety_co-occurrence
Mental Health & Emotional Wellbeing,above-beyond_co-occurrence
Mental Health & Emotional Wellbeing,adhd-parents_co-occurrence
Mental Health & Emotional Wellbeing,adult-adhd_co-occurrence
Mental Health & Emotional Wellbeing,ansiedad-depresion-apoyo_co-occurrence
Mental Health & Emotional Wellbeing,anxiety-depression-support_co-occurrence
Mental Health & Emotional Wellbeing,anxietysupport_co-occurrence
Neurological Disorders,cmtuk_co-occurrence
Neurological Disorders,migraine-support_co-occurrence
Neurological Disorders,migrainecentre_co-occurrence
Neurological Disorders,acoustic-neuroma-support_co-occurrence
Neurological Disorders,amneasier_co-occurrence
Neurological Disorders,ataxia-uk_co-occurrence
Neurological Disorders,brain-aneurysm-support_co-occurrence
Neurological Disorders,dystoniasociety_co-occurrence
Neurological Disorders,epilepsysociety_co-occurrence
Neurological Disorders,meningioma-support_co-occurrence
Reproductive & Sexual Health (Women's Health & Men's Health),endometriosis-uk_co-occurrence
Reproductive & Sexual Health (Women's Health & Men's Health),menopause-perimenopause-support_co-occurrence
Reproductive & Sexual Health (Women's Health & Men's Health),menshealth-penishealth_co-occurrence
Reproductive & Sexual Health (Women's Health & Men's Health),menshealth_co-occurrence
Reproductive & Sexual Health (Women's Health & Men's Health),sensitiveissuesmen_co-occurrence
Reproductive & Sexual Health (Women's Health & Men's Health),the-endometriosis-foundation_co-occurrence
Reproductive & Sexual Health (Women's Health & Men's Health),womenshealth_co-occurrence
Reproductive & Sexual Health (Women's Health & Men's Health),adenomyosisadviceassociation_co-occurrence
Reproductive & Sexual Health (Women's Health & Men's Health),app-network_co-occurrence
Reproductive & Sexual Health (Women's Health & Men's Health),baby-and-us_co-occurrence
"Procedures, Surgeries & Medical Devices",pseudomyxoma-survivor_co-occurrence
"Procedures, Surgeries & Medical Devices",youngadultswithmelanoma_co-occurrence
"Procedures, Surgeries & Medical Devices",acoustic-neuroma-support_co-occurrence
"Procedures, Surgeries & Medical Devices",apma_co-occurrence
"Procedures, Surgeries & Medical Devices",bws-support_co-occurrence
"Procedures, Surgeries & Medical Devices",cavernoma-uk_co-occurrence
"Procedures, Surgeries & Medical Devices",glaucoma-uk_co-occurrence
"Procedures, Surgeries & Medical Devices",glioblastoma-support_co-occurrence
"Procedures, Surgeries & Medical Devices",lung-cancer-support_co-occurrence
"Procedures, Surgeries & Medical Devices",melanomacaregivers_co-occurrence
Cancer & Oncology,cllsupport_co-occurrence
Cancer & Oncology,active-surveillance-prostate_co-occurrence
Cancer & Oncology,advanced-prostate-cancer_co-occurrence
Cancer & Oncology,cancer-journeys-foundation_co-occurrence
Cancer & Oncology,cll-america-support_co-occurrence
Cancer & Oncology,fight-mpn_co-occurrence
Cancer & Oncology,fight-prostate-cancer_co-occurrence
Cancer & Oncology,glioblastoma-support_co-occurrence
Cancer & Oncology,lung-cancer-support_co-occurrence
Cancer & Oncology,lungcancer_co-occurrence
Cardiovascular Diseases,anticoagulation-support_co-occurrence
Cardiovascular Diseases,afassociation_co-occurrence
Cardiovascular Diseases,bhf_co-occurrence
Cardiovascular Diseases,blood-pressure-support_co-occurrence
Cardiovascular Diseases,cholesterol-support_co-occurrence
Cardiovascular Diseases,sca-heart-attack_co-occurrence
Cardiovascular Diseases,arrhythmia-alliance-heart-failure_co-occurrence
Cardiovascular Diseases,arrhythmia-alliance-svt_co-occurrence
Cardiovascular Diseases,differentstrokes_co-occurrence
Cardiovascular Diseases,heart-valve-voice_co-occurrence
Renal & Liver Diseases,c3g_co-occurrence
Renal & Liver Diseases,hep-c-support_co-occurrence
Renal & Liver Diseases,liver4life_co-occurrence
Renal & Liver Diseases,livernorth_co-occurrence
Renal & Liver Diseases,nkf-ckd_co-occurrence
Renal & Liver Diseases,pkdcharity-autosomaldominant_co-occurrence
Renal & Liver Diseases,transplant-support_co-occurrence
Renal & Liver Diseases,britishlivertrust_co-occurrence
Renal & Liver Diseases,continencesupport_co-occurrence
Renal & Liver Diseases,early-ckd-support_co-occurrence
Metabolic & Endocrine Disorders,diabeteshelp_co-occurrence
Metabolic & Endocrine Disorders,fasd-support_co-occurrence
Metabolic & Endocrine Disorders,diabetesindia_co-occurrence
Metabolic & Endocrine Disorders,thyroiduk_co-occurrence
Metabolic & Endocrine Disorders,alzheimer-support_co-occurrence
