Id,Type,cluster_id
Pain & Musculoskeletal Conditions,cluster,Pain & Musculoskeletal Conditions
fibromyalgia-action-uk_co-occurrence,community,
actiononpain_co-occurrence,community,
arthritis-action_co-occurrence,community,
bonehealth_co-occurrence,community,
chronic-myofascial-pain_co-occurrence,community,
edsuk_co-occurrence,community,
lsn_co-occurrence,community,
oa-action_co-occurrence,community,
osteoporosis-support_co-occurrence,community,
painconcern_co-occurrence,community,
Autoimmune Diseases,cluster,Autoimmune Diseases
hughes-syndrome_co-occurrence,community,
lupus-support_co-occurrence,community,
lupusuk_co-occurrence,community,
mga_co-occurrence,community,
sjogrens-support_co-occurrence,community,
behcetsuk_co-occurrence,community,
fierybones-ra_co-occurrence,community,
nras_co-occurrence,community,
partnersforbehcets_co-occurrence,community,
pbc-foundation_co-occurrence,community,
"Lifestyle, Diet & Supplements",cluster,"Lifestyle, Diet & Supplements"
my-skin_co-occurrence,community,
myelomauk_co-occurrence,community,
active10_co-occurrence,community,
blog_co-occurrence,community,
bridgeto10k_co-occurrence,community,
care-community_co-occurrence,community,
cookforyourlife_co-occurrence,community,
couchto5k_co-occurrence,community,
demo-community_co-occurrence,community,
dialysis-support_co-occurrence,community,
Mental Health & Emotional Wellbeing,cluster,Mental Health & Emotional Wellbeing
apma_co-occurrence,community,
barretts-oesophagus_co-occurrence,community,
healmyptsd_co-occurrence,community,
livingwithanxiety_co-occurrence,community,
above-beyond_co-occurrence,community,
adhd-parents_co-occurrence,community,
adult-adhd_co-occurrence,community,
ansiedad-depresion-apoyo_co-occurrence,community,
anxiety-depression-support_co-occurrence,community,
anxietysupport_co-occurrence,community,
Neurological Disorders,cluster,Neurological Disorders
cmtuk_co-occurrence,community,
migraine-support_co-occurrence,community,
migrainecentre_co-occurrence,community,
acoustic-neuroma-support_co-occurrence,community,
amneasier_co-occurrence,community,
ataxia-uk_co-occurrence,community,
brain-aneurysm-support_co-occurrence,community,
dystoniasociety_co-occurrence,community,
epilepsysociety_co-occurrence,community,
meningioma-support_co-occurrence,community,
Reproductive & Sexual Health (Women's Health & Men's Health),cluster,Reproductive & Sexual Health (Women's Health & Men's Health)
endometriosis-uk_co-occurrence,community,
menopause-perimenopause-support_co-occurrence,community,
menshealth-penishealth_co-occurrence,community,
menshealth_co-occurrence,community,
sensitiveissuesmen_co-occurrence,community,
the-endometriosis-foundation_co-occurrence,community,
womenshealth_co-occurrence,community,
adenomyosisadviceassociation_co-occurrence,community,
app-network_co-occurrence,community,
baby-and-us_co-occurrence,community,
"Procedures, Surgeries & Medical Devices",cluster,"Procedures, Surgeries & Medical Devices"
pseudomyxoma-survivor_co-occurrence,community,
youngadultswithmelanoma_co-occurrence,community,
bws-support_co-occurrence,community,
cavernoma-uk_co-occurrence,community,
glaucoma-uk_co-occurrence,community,
glioblastoma-support_co-occurrence,community,
lung-cancer-support_co-occurrence,community,
melanomacaregivers_co-occurrence,community,
Cancer & Oncology,cluster,Cancer & Oncology
cllsupport_co-occurrence,community,
active-surveillance-prostate_co-occurrence,community,
advanced-prostate-cancer_co-occurrence,community,
cancer-journeys-foundation_co-occurrence,community,
cll-america-support_co-occurrence,community,
fight-mpn_co-occurrence,community,
fight-prostate-cancer_co-occurrence,community,
lungcancer_co-occurrence,community,
Cardiovascular Diseases,cluster,Cardiovascular Diseases
anticoagulation-support_co-occurrence,community,
afassociation_co-occurrence,community,
bhf_co-occurrence,community,
blood-pressure-support_co-occurrence,community,
cholesterol-support_co-occurrence,community,
sca-heart-attack_co-occurrence,community,
arrhythmia-alliance-heart-failure_co-occurrence,community,
arrhythmia-alliance-svt_co-occurrence,community,
differentstrokes_co-occurrence,community,
heart-valve-voice_co-occurrence,community,
Renal & Liver Diseases,cluster,Renal & Liver Diseases
c3g_co-occurrence,community,
hep-c-support_co-occurrence,community,
liver4life_co-occurrence,community,
livernorth_co-occurrence,community,
nkf-ckd_co-occurrence,community,
pkdcharity-autosomaldominant_co-occurrence,community,
transplant-support_co-occurrence,community,
britishlivertrust_co-occurrence,community,
continencesupport_co-occurrence,community,
early-ckd-support_co-occurrence,community,
Metabolic & Endocrine Disorders,cluster,Metabolic & Endocrine Disorders
diabeteshelp_co-occurrence,community,
fasd-support_co-occurrence,community,
diabetesindia_co-occurrence,community,
thyroiduk_co-occurrence,community,
alzheimer-support_co-occurrence,community,
diabetes-support_co-occurrence,community,
drwfdiabetes_co-occurrence,community,
graves-disease-support_co-occurrence,community,
myositisuk_co-occurrence,community,
pmrgcauk_co-occurrence,community,
Patient Support & Education,cluster,Patient Support & Education
fertility-network-uk_co-occurrence,community,
one-norfolk-parents_co-occurrence,community,
fertility-ivf_co-occurrence,community,
fertility-network-uk-pregnancy_co-occurrence,community,
fertility-road_co-occurrence,community,
mamafit_co-occurrence,community,
nkf-parents_co-occurrence,community,
Dermatology & Skin-Related,cluster,Dermatology & Skin-Related
beyond-psoriasis_co-occurrence,community,
fungalinfectiontrust_co-occurrence,community,
alopeciauk_co-occurrence,community,
adult-acne-support_co-occurrence,community,
changingfaces_co-occurrence,community,
tourettes-action_co-occurrence,community,
Medications & Treatment Monitoring,cluster,Medications & Treatment Monitoring
erectile-dysfunction-support_co-occurrence,community,
hepatitisfoundation_co-occurrence,community,
pbcers_co-occurrence,community,
asthmalunguk-asthma_co-occurrence,community,
Substance Abuse & Addiction,cluster,Substance Abuse & Addiction
quit4life_co-occurrence,community,
quitsupport_co-occurrence,community,
downs-support_co-occurrence,community,
drink-free_co-occurrence,community,
nosmokingday_co-occurrence,community,
